"番号","カード名","属性","レア度","効果","元のファイル名"
"B-147","先住民","ひで","SSR","捨て札から2枚選んで回収する。回収した速攻は発動せず手札に保持する。","IMG_2555.jpeg"
"B-148","最高","より・りおん・えなみ・ひで","十神","自分の呪いをすべて捨て→安全に2枚引く→出目＋4。4属性のカードとして扱う。","GPTempDownload.jpeg"
"B-149","天狗高原・二人の頂","えなみ・より","UR","5マス進み、出目＋1。サイコロも振れる。 移動先のマス効果は発動しない（初回の神殿停止を除く）。","IMG_2609.jpeg"
"B-150","頭痛そう","ひで","SR","速攻。自分が3マス戻る。手番は続く。 移動先のマス効果は発動しない（初回の神殿停止を除く）。","IMG_9839.jpeg"
"B-151","石職人","りおん","SSR","自分へのカード1枚またはマス1つの効果をすべて無効化する。","IMG_0075.jpeg"
"B-152","マリオ","ひで・えなみ","UR","4マス進み、サイコロを1個追加して振る。 移動先のマス効果は発動しない（初回の神殿停止を除く）。","IMG_2828.jpeg"
"B-153","サイボーグ","より","LR","相手1人を5マス戻し、出目＋1。 移動先のマス効果は発動しない（初回の神殿停止を除く）。","IMG_0133.jpeg"
"B-154","ダイビング前・ひで","ひで","R","安全に1枚引き、出目＋1。","IMG_0170(1).jpeg"
"B-155","ダイビング前・りおん","りおん","SR","2枚引く。速攻は発動せず手札に保持する。","IMG_0171.jpeg"
"B-156","宿毛オブジェ","より・えなみ・ひで・りおん","神話","未完成シリーズの未所持の絵柄を1種獲得→安全に1枚引く→出目＋3。絵柄がなければ安全に1枚引く。","IMG_2862.jpeg"
"B-157","顔面が魚すぎる","ひで","SR","相手1人と手札をランダムに1枚ずつ交換し、出目＋3。交換した速攻は新しい持ち主に発動する。","IMG_0260.jpeg"
"B-158","呼吸に必死","えなみ","SSR","自分へのカード1枚またはマス1つの効果をすべて無効化する。","IMG_0259.jpeg"
"B-159","確定演出の光","りおん","神話","特殊カードを1枚獲得し、出目＋2。すでに所持している場合は残す1枚を選ぶ。","IMG_0261.jpeg"
"B-160","イケメン","りおん","SR","サイコロの合計出目に4を加える。","IMG_2867.jpeg"
"B-161","シャレオツバー","りおん","UR","対戦用💎を2倍にする。増加分は共有宝庫の残高と参加費4倍まで。上限を超えて所持中でも減らない。新たな💎は発行しない。","IMG_2883(1).jpeg"
"B-162","in徳島","ひで・えなみ・りおん","LR","安全に2枚引き、3マス進む。 移動先のマス効果は発動しない（初回の神殿停止を除く）。","IMG_3067.jpeg"
"B-163","いざ無人島へ","ひで・りおん","SSR","9マス進む。この手番はサイコロを振らない。 移動先のマス効果は発動しない（初回の神殿停止を除く）。","IMG_4548.jpeg"
"B-164","ピース・より","より","R","サイコロの合計出目に2を加える。","IMG_4558.jpeg"
"B-165","朝食前","ひで","R","安全に1枚引き、1マス進む。 移動先のマス効果は発動しない（初回の神殿停止を除く）。","IMG_4582.jpeg"
"B-166","ニヤニヤ","りおん","SR","相手1人の裏向きの手札から1枚奪い、出目＋2。呪いを奪うこともある。","IMG_4584.jpeg"
"B-167","貝採取中","ひで","SR","共有宝庫から参加費の20％分（最低1）の対戦用💎を受け取り、安全に1枚引く。宝庫の残高・参加費4倍まで。","IMG_4614.jpeg"
"B-168","良き","りおん","R","3マス進む。サイコロも振れる。 移動先のマス効果は発動しない（初回の神殿停止を除く）。","IMG_4608.jpeg"
"B-169","海きわきわ","より","SSR","出目＋5。自分の手札を1枚選んで捨てる。残りの手札がなければ捨てずに進む。","IMG_4603.jpeg"
"B-170","コーヒータイム","より","SR","捨て札から1枚選んで回収し、安全に1枚引く。回収した速攻は手札に保持する。","IMG_4641.jpeg"
"B-171","宴中","ひで","SSR","カードを3枚引く。引いた速攻は発動する。","IMG_4675.jpeg"
"B-172","ジャケット写真","りおん・より","LR","未完成シリーズの未所持の絵柄を1種獲得し、2マス進む。絵柄がなければ安全に1枚引く。 移動先のマス効果は発動しない（初回の神殿停止を除く）。","IMG_4812.jpeg"
"B-173","ボート","りおん・ひで","SR","2マス進み、出目＋2。サイコロも振れる。 移動先のマス効果は発動しない（初回の神殿停止を除く）。","IMG_4792.jpeg"
"B-174","友人スピーチ","りおん","SSR","自分の呪いをすべて捨て、出目＋3。","IMG_5347.jpeg"
"B-175","ヤニチャージ","より","SR","1枚引き、出目＋3。引いた速攻は発動せず手札に保持する。","IMG_5583.jpeg"
"B-176","ボードゲーム","りおん・より・えなみ・ひで","十神","捨て札から2枚選んで回収し、出目＋4。回収した速攻は手札に保持する。4属性のカードとして扱う。","IMG_5418.jpeg"
"B-177","ピザポテト","ひで・りおん・より","SSR","安全に2枚引き、出目＋1。","IMG_7384.jpeg"
"B-178","傘の間違った持ち方","ひで","UR","自分への相手の単体攻撃を1回だけ相手へ跳ね返す。反射できないマス・速攻は無効化する。","IMG_0406.jpeg"
"B-179","二郎系ラーメン","ひで","SSR","3枚引き、出目−1。引いた速攻は発動せず手札に保持する。","IMG_0394.jpeg"
"B-180","ブルーベリーアイ","ひで","SSR","未完成シリーズの未所持の絵柄を1種獲得し、安全に1枚引く。絵柄がなければ安全に1枚引く。","IMG_0443.jpeg"
