モード,条件,順番,名前,Lv,HP,攻撃,防御,速度,固有ID,勝率検証
第一章,25:floor-boss-250,1,⚔️ 腐命の命紡ぎ,258,14676,595,544,177,floor-boss-250,未実戦検証
第一章,26:floor-boss-260,1,⚔️ 帯電の封陣卿,268,32944,588,1341,200,floor-boss-260,未実戦検証
第一章,27:floor-boss-270,1,⚔️ 紫牙の双牙将,278,27948,2141,935,238,floor-boss-270,未実戦検証
第一章,28:floor-boss-280,1,⚔️ 雷鐘の葬鐘守,288,11035,547,603,111,floor-boss-280,未実戦検証
第一章,29:floor-boss-290,1,⚔️ 轟冠の冠位竜,299,22879,2781,842,404,floor-boss-290,未実戦検証
第一章,30:abyss_envy,1,⚔️ 深淵Ⅲ 嫉妬,309,29400,2970,1418,354,abyss_envy,未実戦検証
第一章,31:floor-boss-310,1,⚔️ 古門の剣王,319,10350,1265,558,289,floor-boss-310,未実戦検証
第一章,32:floor-boss-320,1,⚔️ 苔鏡の鏡術師,330,9995,870,1001,727,floor-boss-320,未実戦検証
第一章,33:floor-boss-330,1,⚔️ 崩塞の城塞公,340,16762,1139,707,243,floor-boss-330,未実戦検証
第一章,34:floor-boss-340,1,⚔️ 封迅の疾風侯,350,10989,1683,694,891,floor-boss-340,未実戦検証
第一章,35:floor-boss-350,1,⚔️ 祭命の命紡ぎ,361,17682,1168,832,376,floor-boss-350,未実戦検証
第一章,36:floor-boss-360,1,⚔️ 芽嵐の封陣卿,371,26753,1714,889,597,floor-boss-360,未実戦検証
第一章,37:floor-boss-370,1,⚔️ 絡牙の双牙将,381,26331,4775,808,2239,floor-boss-370,未実戦検証
第一章,38:floor-boss-380,1,⚔️ 燐鐘の葬鐘守,391,33110,1899,1300,205,floor-boss-380,未実戦検証
第一章,39:floor-boss-390,1,⚔️ 樹冠の冠位竜,402,61291,3898,3026,349,floor-boss-390,未実戦検証
第一章,40:abyss_sloth,1,⚔️ 深淵Ⅳ 怠惰,412,71931,1566,4694,98,abyss_sloth,未実戦検証
第一章,41:floor-boss-410,1,⚔️ 巡耀の剣王,422,14768,1233,662,557,floor-boss-410,未実戦検証
第一章,42:floor-boss-420,1,⚔️ 星鏡の鏡術師,433,16423,1095,587,522,floor-boss-420,未実戦検証
第一章,43:floor-boss-430,1,⚔️ 礼城の城塞公,443,15280,474,618,217,floor-boss-430,未実戦検証
第一章,44:floor-boss-440,1,⚔️ 天迅の疾風侯,453,21791,3142,1575,771,floor-boss-440,未実戦検証
第一章,45:floor-boss-450,1,⚔️ 神庭の命紡ぎ,464,32702,2124,1541,600,floor-boss-450,未実戦検証
第一章,46:floor-boss-460,1,⚔️ 裂界の封陣卿,474,43002,1913,1216,118,floor-boss-460,未実戦検証
第一章,47:floor-boss-470,1,⚔️ 星骸の双牙将,484,38055,2994,1758,951,floor-boss-470,未実戦検証
第一章,48:floor-boss-480,1,⚔️ 重鐘の葬鐘守,494,61167,1639,2723,273,floor-boss-480,未実戦検証
第一章,49:floor-boss-490,1,⚔️ 虚冠の冠位竜,505,50656,3859,2187,798,floor-boss-490,未実戦検証
第一章,50:abyss_greed,1,⚔️ 深淵Ⅴ 強欲,515,70276,3107,1730,507,abyss_greed,未実戦検証
第一章,51:floor-boss-510,1,⚔️ 浅潮の剣王,525,13051,1616,413,987,floor-boss-510,未実戦検証
第一章,52:floor-boss-520,1,⚔️ 藻鏡の鏡術師,536,34080,982,1218,721,floor-boss-520,未実戦検証
第一章,53:floor-boss-530,1,⚔️ 圧城の城塞公,546,23107,1545,1039,539,floor-boss-530,未実戦検証
第一章,54:floor-boss-540,1,⚔️ 深迅の疾風侯,556,34988,4628,2335,1861,floor-boss-540,未実戦検証
第一章,55:floor-boss-550,1,⚔️ 海命の命紡ぎ,567,68439,2579,3308,312,floor-boss-550,未実戦検証
第一章,56:floor-boss-560,1,⚔️ 境鎖の封陣卿,577,36840,2545,1356,1000,floor-boss-560,未実戦検証
第一章,57:floor-boss-570,1,⚔️ 裂雷の双牙将,587,41992,3508,1106,347,floor-boss-570,未実戦検証
第一章,58:floor-boss-580,1,⚔️ 熔鐘の葬鐘守,597,20299,1555,685,540,floor-boss-580,未実戦検証
第一章,59:floor-boss-590,1,⚔️ 凍界の冠位竜,608,36880,2699,1398,1115,floor-boss-590,未実戦検証
第一章,60:abyss_lust,1,⚔️ 深淵Ⅵ 色欲,618,55065,2107,1908,716,abyss_lust,未実戦検証
第一章,61:floor-boss-610,1,⚔️ 炉牙の剣王,628,26066,2051,1552,784,floor-boss-610,未実戦検証
第一章,62:floor-boss-620,1,⚔️ 焔鏡の鏡術師,639,17775,1219,540,891,floor-boss-620,未実戦検証
第一章,63:floor-boss-630,1,⚔️ 脈塞の城塞公,649,78169,2361,3201,261,floor-boss-630,未実戦検証
第一章,64:floor-boss-640,1,⚔️ 熔駆の疾風侯,659,21686,4342,1002,1287,floor-boss-640,未実戦検証
第一章,65:floor-boss-650,1,⚔️ 火命の命紡ぎ,670,68478,2125,2646,272,floor-boss-650,未実戦検証
第一章,66:floor-boss-660,1,⚔️ 氷鎖の封陣卿,680,79601,2008,2749,757,floor-boss-660,未実戦検証
第一章,67:floor-boss-670,1,⚔️ 霜極の双牙将,690,61978,8450,1987,988,floor-boss-670,未実戦検証
第一章,68:floor-boss-680,1,⚔️ 晶鐘の葬鐘守,700,29425,2854,2142,377,floor-boss-680,未実戦検証
第一章,69:floor-boss-690,1,⚔️ 極冠の冠位竜,711,78282,5334,5179,719,floor-boss-690,未実戦検証
第一章,70:abyss_pride,1,⚔️ 深淵Ⅶ 傲慢,721,182684,8809,8399,265,abyss_pride,未実戦検証
第一章,71:floor-boss-710,1,⚔️ 胞刃の剣王,731,22728,3103,983,1278,floor-boss-710,未実戦検証
第一章,72:floor-boss-720,1,⚔️ 糸幻の鏡術師,742,51463,1427,1731,373,floor-boss-720,未実戦検証
第一章,73:floor-boss-730,1,⚔️ 殖殿の城塞公,752,57863,2525,2435,611,floor-boss-730,未実戦検証
第一章,74:floor-boss-740,1,⚔️ 瘴翔の疾風侯,762,48985,9958,3300,2131,floor-boss-740,未実戦検証
第一章,75:floor-boss-750,1,⚔️ 腐母の命紡ぎ,773,88271,2718,4067,895,floor-boss-750,未実戦検証
第一章,76:floor-boss-760,1,⚔️ 電鎖の封陣卿,783,66246,3649,4175,1548,floor-boss-760,未実戦検証
第一章,77:floor-boss-770,1,⚔️ 裂極の双牙将,793,29621,3126,1388,1437,floor-boss-770,未実戦検証
第一章,78:floor-boss-780,1,⚔️ 晶葬の葬鐘守,803,47694,3758,2040,1271,floor-boss-780,未実戦検証
第一章,79:floor-boss-790,1,⚔️ 天轟の冠位竜,814,72407,4749,3023,1500,floor-boss-790,未実戦検証
第一章,80:ten_time,1,⚔️ 十神Ⅰ 時間,824,88174,1424,4620,1050,ten_time,未実戦検証
第一章,80:ten_space,1,⚔️ 十神Ⅱ 空間,824,216472,9047,9127,171,ten_space,未実戦検証
第一章,80:ten_life,1,⚔️ 十神Ⅲ 生命,824,87805,648,4301,1143,ten_life,未実戦検証
第一章,81:floor-boss-810,1,⚔️ 白晶の剣王,834,36224,3510,1782,1042,floor-boss-810,未実戦検証
第一章,82:floor-boss-820,1,⚔️ 翠鏡の鏡術師,845,33421,2013,1301,724,floor-boss-820,未実戦検証
第一章,83:floor-boss-830,1,⚔️ 白亜の城塞公,855,117583,4293,5568,594,floor-boss-830,未実戦検証
第一章,84:floor-boss-840,1,⚔️ 瑠璃の疾風侯,865,61665,9084,2204,1031,floor-boss-840,未実戦検証
第一章,85:floor-boss-850,1,⚔️ 花苑の命紡ぎ,876,135206,3360,3921,524,floor-boss-850,未実戦検証
第一章,86:floor-boss-860,1,⚔️ 風詩の封陣卿,886,20944,864,1050,433,floor-boss-860,未実戦検証
第一章,87:floor-boss-870,1,⚔️ 双花の双牙将,896,64507,10142,4933,2911,floor-boss-870,未実戦検証
第一章,88:floor-boss-880,1,⚔️ 星鈴の葬鐘守,906,38004,1304,1762,369,floor-boss-880,未実戦検証
第一章,89:floor-boss-890,1,⚔️ 天花の冠位竜,917,34396,2335,1430,630,floor-boss-890,未実戦検証
第一章,90:ten_death,1,⚔️ 十神Ⅳ 死,927,167388,9822,8391,730,ten_death,未実戦検証
第一章,90:ten_fate,1,⚔️ 十神Ⅴ 運命,927,104458,8766,3002,1992,ten_fate,未実戦検証
第一章,90:ten_chaos,1,⚔️ 十神Ⅵ 混沌,927,170807,9321,8402,649,ten_chaos,未実戦検証
第一章,91:floor-boss-910,1,⚔️ 聖幕の剣王,937,140499,11601,6336,1196,floor-boss-910,未実戦検証
第一章,92:floor-boss-920,1,⚔️ 星譜の鏡術師,948,84249,3340,3212,1214,floor-boss-920,未実戦検証
第一章,93:floor-boss-930,1,⚔️ 楽殿の城塞公,958,225810,9872,6084,391,floor-boss-930,未実戦検証
第一章,94:floor-boss-940,1,⚔️ 光翼の疾風侯,968,137580,8782,5375,941,floor-boss-940,未実戦検証
第一章,95:floor-boss-950,1,⚔️ 天唱の命紡ぎ,979,118938,3135,4752,1233,floor-boss-950,未実戦検証
第一章,96:floor-boss-960,1,⚔️ 月幕の封陣卿,989,97661,2699,3494,1714,floor-boss-960,未実戦検証
第一章,97:floor-boss-970,1,⚔️ 双奏の双牙将,999,60634,6714,2312,1752,floor-boss-970,未実戦検証
第一章,98:floor-boss-980,1,⚔️ 夜想の葬鐘守,1009,124474,4830,6039,1638,floor-boss-980,未実戦検証
第一章,99:floor-boss-990,1,⚔️ 終星の冠位竜,1020,96818,10381,5635,2435,floor-boss-990,未実戦検証
第一章,100:ten_dominion,1,⚔️ 十神Ⅶ 支配,1030,298057,3956,5943,1079,ten_dominion,未実戦検証
第一章,100:ten_creation,1,⚔️ 十神Ⅷ 創造,1030,360782,3469,10027,1656,ten_creation,未実戦検証
第一章,100:ten_end,1,⚔️ 十神Ⅸ 終焉,1030,157879,3560,2740,1679,ten_end,未実戦検証
第一章,100:ten_divinity,1,⚔️ 十神Ⅹ 神格,1030,874987,20048,17504,697,ten_divinity,未実戦検証
欠片試練,floor-boss-10,1,⚔️ 黒鉄の剣王〈欠片試練〉,10,1028,41,17,21,floor-boss-10,未実戦検証
欠片試練,floor-boss-10,2,黒鉄の随伴・1,5,403,22,8,3,,未実戦検証
欠片試練,floor-boss-10,3,黒鉄の随伴・2,3,378,19,10,11,,未実戦検証
欠片試練,floor-boss-10,4,黒鉄の随伴・3,1,423,24,15,16,,未実戦検証
欠片試練,floor-boss-20,1,⚔️ 翠風の鏡術師〈欠片試練〉,20,1998,57,39,24,floor-boss-20,未実戦検証
欠片試練,floor-boss-20,2,翠風の随伴・1,15,1049,86,34,21,,未実戦検証
欠片試練,floor-boss-20,3,翠風の随伴・2,13,2144,199,79,42,,未実戦検証
欠片試練,floor-boss-20,4,翠風の随伴・3,11,304,23,7,32,,未実戦検証
欠片試練,floor-boss-30,1,⚔️ 熔城の城塞公〈欠片試練〉,30,3308,138,43,48,floor-boss-30,未実戦検証
欠片試練,floor-boss-30,2,熔城の随伴・1,25,1477,46,63,22,,未実戦検証
欠片試練,floor-boss-30,3,熔城の随伴・2,23,1683,132,54,56,,未実戦検証
欠片試練,floor-boss-30,4,熔城の随伴・3,21,2554,185,89,77,,未実戦検証
欠片試練,floor-boss-40,1,⚔️ 氷迅の疾風侯〈欠片試練〉,40,4509,194,63,41,floor-boss-40,未実戦検証
欠片試練,floor-boss-40,2,氷迅の随伴・1,35,2411,110,94,51,,未実戦検証
欠片試練,floor-boss-40,3,氷迅の随伴・2,33,7105,244,262,40,,未実戦検証
欠片試練,floor-boss-40,4,氷迅の随伴・3,31,3841,179,213,44,,未実戦検証
欠片試練,floor-boss-50,1,⚔️ 星祷の命紡ぎ〈欠片試練〉,50,15254,117,237,44,floor-boss-50,未実戦検証
欠片試練,floor-boss-50,2,星祷の随伴・1,45,5068,225,162,80,,未実戦検証
欠片試練,floor-boss-50,3,⚔️ 星祷の随伴・2,43,1563,209,50,68,,未実戦検証
欠片試練,floor-boss-50,4,⚔️ 星祷の随伴・3,41,2206,96,74,28,,未実戦検証
欠片試練,floor-boss-60,1,⚔️ 深潮の封陣卿〈欠片試練〉,60,4910,110,86,56,floor-boss-60,未実戦検証
欠片試練,floor-boss-60,2,深潮の随伴・1,55,7765,378,242,62,,未実戦検証
欠片試練,floor-boss-60,3,深潮の随伴・2,53,833,68,21,35,,未実戦検証
欠片試練,floor-boss-60,4,⚔️ 深潮の随伴・3,51,2951,111,109,29,,未実戦検証
欠片試練,floor-boss-70,1,⚔️ 瘴牙の双牙将〈欠片試練〉,70,13360,1056,191,70,floor-boss-70,未実戦検証
欠片試練,floor-boss-70,2,⚔️ 瘴牙の随伴・1,65,5323,347,172,73,,未実戦検証
欠片試練,floor-boss-70,3,瘴牙の随伴・2,63,5162,270,165,71,,未実戦検証
欠片試練,floor-boss-70,4,⚔️ 瘴牙の随伴・3,61,6239,398,321,69,,未実戦検証
欠片試練,floor-boss-80,1,⚔️ 虚鐘の葬鐘守〈欠片試練〉,80,20104,454,409,26,floor-boss-80,未実戦検証
欠片試練,floor-boss-80,2,虚鐘の随伴・1,75,1314,86,38,71,,未実戦検証
欠片試練,floor-boss-80,3,⚔️ 虚鐘の随伴・2,73,1620,251,62,99,,未実戦検証
欠片試練,floor-boss-80,4,⚔️ 虚鐘の随伴・3,71,5275,545,174,124,,未実戦検証
欠片試練,floor-boss-90,1,⚔️ 火冠の冠位竜〈欠片試練〉,90,37833,728,510,58,floor-boss-90,未実戦検証
欠片試練,floor-boss-90,2,⚔️ 火冠の随伴・1,85,15553,1095,486,102,,未実戦検証
欠片試練,floor-boss-90,3,⚔️ 火冠の随伴・2,83,2696,307,122,70,,未実戦検証
欠片試練,floor-boss-90,4,⚔️ 火冠の随伴・3,81,19402,471,807,46,,未実戦検証
欠片試練,floor-boss-110,1,⚔️ 玄熔の剣王〈欠片試練〉,110,14368,483,459,31,floor-boss-110,未実戦検証
欠片試練,floor-boss-110,2,⚔️ 玄熔の随伴・1,105,1250,163,39,118,,未実戦検証
欠片試練,floor-boss-110,3,⚔️ 玄熔の随伴・2,103,7294,264,298,52,,未実戦検証
欠片試練,floor-boss-110,4,⚔️ 玄熔の随伴・3,101,12208,744,478,185,,未実戦検証
欠片試練,floor-boss-120,1,⚔️ 裂焔の鏡術師〈欠片試練〉,120,11138,228,171,151,floor-boss-120,未実戦検証
欠片試練,floor-boss-120,2,⚔️ 裂焔の随伴・1,115,5396,331,332,64,,未実戦検証
欠片試練,floor-boss-120,3,⚔️ 裂焔の随伴・2,113,8779,563,532,102,,未実戦検証
欠片試練,floor-boss-120,4,裂焔の随伴・3,111,3194,158,128,54,,未実戦検証
欠片試練,floor-boss-130,1,⚔️ 火脈の城塞公〈欠片試練〉,130,16138,592,342,72,floor-boss-130,未実戦検証
欠片試練,floor-boss-130,2,⚔️ 火脈の随伴・1,125,3602,380,142,129,,未実戦検証
欠片試練,floor-boss-130,3,火脈の随伴・2,123,2123,207,78,145,,未実戦検証
欠片試練,floor-boss-130,4,火脈の随伴・3,121,7862,624,244,81,,未実戦検証
欠片試練,floor-boss-140,1,⚔️ 熔迅の疾風侯〈欠片試練〉,140,13713,615,276,195,floor-boss-140,未実戦検証
欠片試練,floor-boss-140,2,⚔️ 熔迅の随伴・1,135,2065,156,111,143,,未実戦検証
欠片試練,floor-boss-140,3,熔迅の随伴・2,133,8355,334,311,55,,未実戦検証
欠片試練,floor-boss-140,4,⚔️ 熔迅の随伴・3,131,12179,686,483,211,,未実戦検証
欠片試練,floor-boss-150,1,⚔️ 炉心の命紡ぎ〈欠片試練〉,150,29357,452,388,186,floor-boss-150,未実戦検証
欠片試練,floor-boss-150,2,⚔️ 炉心の随伴・1,145,2864,358,216,169,,未実戦検証
欠片試練,floor-boss-150,3,⚔️ 炉心の随伴・2,143,4091,434,208,169,,未実戦検証
欠片試練,floor-boss-150,4,⚔️ 炉心の随伴・3,141,5687,691,238,183,,未実戦検証
欠片試練,floor-boss-160,1,⚔️ 薄氷の封陣卿〈欠片試練〉,160,25986,443,483,136,floor-boss-160,未実戦検証
欠片試練,floor-boss-160,2,⚔️ 薄氷の随伴・1,155,4380,409,244,80,,未実戦検証
欠片試練,floor-boss-160,3,薄氷の随伴・2,153,6454,588,252,198,,未実戦検証
欠片試練,floor-boss-160,4,⚔️ 薄氷の随伴・3,151,3599,261,119,143,,未実戦検証
欠片試練,floor-boss-170,1,⚔️ 霜牙の双牙将〈欠片試練〉,170,52866,1706,806,148,floor-boss-170,未実戦検証
欠片試練,floor-boss-170,2,霜牙の随伴・1,165,15668,844,853,158,,未実戦検証
欠片試練,floor-boss-170,3,霜牙の随伴・2,163,11678,337,461,86,,未実戦検証
欠片試練,floor-boss-170,4,⚔️ 霜牙の随伴・3,161,16478,1663,586,155,,未実戦検証
欠片試練,floor-boss-180,1,⚔️ 氷鐘の葬鐘守〈欠片試練〉,180,86440,991,1447,111,floor-boss-180,未実戦検証
欠片試練,floor-boss-180,2,⚔️ 氷鐘の随伴・1,175,36489,1043,1468,146,,未実戦検証
欠片試練,floor-boss-180,3,氷鐘の随伴・2,173,2359,85,83,62,,未実戦検証
欠片試練,floor-boss-180,4,⚔️ 氷鐘の随伴・3,171,7948,401,291,107,,未実戦検証
欠片試練,floor-boss-190,1,⚔️ 零冠の冠位竜〈欠片試練〉,190,12005,401,233,198,floor-boss-190,未実戦検証
欠片試練,floor-boss-190,2,零冠の随伴・1,185,7176,653,351,160,,未実戦検証
欠片試練,floor-boss-190,3,⚔️ 零冠の随伴・2,183,12833,718,457,9,,未実戦検証
欠片試練,floor-boss-190,4,零冠の随伴・3,181,8796,591,387,217,,未実戦検証
欠片試練,floor-boss-210,1,⚔️ 胞鋼の剣王〈欠片試練〉,210,31885,709,458,203,floor-boss-210,未実戦検証
欠片試練,floor-boss-210,2,胞鋼の随伴・1,205,4734,369,133,162,,未実戦検証
欠片試練,floor-boss-210,3,⚔️ 胞鋼の随伴・2,203,7341,733,591,633,,未実戦検証
欠片試練,floor-boss-210,4,胞鋼の随伴・3,201,13916,1177,485,316,,未実戦検証
欠片試練,floor-boss-220,1,⚔️ 菌鏡の鏡術師〈欠片試練〉,220,44497,385,795,78,floor-boss-220,未実戦検証
欠片試練,floor-boss-220,2,⚔️ 菌鏡の随伴・1,215,35537,1011,1514,141,,未実戦検証
欠片試練,floor-boss-220,3,菌鏡の随伴・2,213,21845,945,935,189,,未実戦検証
欠片試練,floor-boss-220,4,菌鏡の随伴・3,211,12071,827,479,160,,未実戦検証
欠片試練,floor-boss-230,1,⚔️ 殖城の城塞公〈欠片試練〉,230,49887,548,980,67,floor-boss-230,未実戦検証
欠片試練,floor-boss-230,2,⚔️ 殖城の随伴・1,225,5720,448,349,63,,未実戦検証
欠片試練,floor-boss-230,3,殖城の随伴・2,223,12538,341,415,79,,未実戦検証
欠片試練,floor-boss-230,4,⚔️ 殖城の随伴・3,221,5318,176,209,85,,未実戦検証
欠片試練,floor-boss-240,1,⚔️ 瘴迅の疾風侯〈欠片試練〉,240,19771,1401,303,456,floor-boss-240,未実戦検証
欠片試練,floor-boss-240,2,⚔️ 瘴迅の随伴・1,235,6787,440,464,113,,未実戦検証
欠片試練,floor-boss-240,3,瘴迅の随伴・2,233,5993,598,215,281,,未実戦検証
欠片試練,floor-boss-240,4,瘴迅の随伴・3,231,10704,704,466,230,,未実戦検証
欠片試練,floor-boss-250,1,⚔️ 腐命の命紡ぎ〈欠片試練〉,250,50371,845,799,322,floor-boss-250,未実戦検証
欠片試練,floor-boss-250,2,⚔️ 腐命の随伴・1,245,7970,592,478,83,,未実戦検証
欠片試練,floor-boss-250,3,腐命の随伴・2,243,13457,319,447,91,,未実戦検証
欠片試練,floor-boss-250,4,腐命の随伴・3,241,6397,136,195,61,,未実戦検証
欠片試練,floor-boss-260,1,⚔️ 帯電の封陣卿〈欠片試練〉,260,89615,735,1536,154,floor-boss-260,未実戦検証
欠片試練,floor-boss-260,2,帯電の随伴・1,255,14062,1082,440,375,,未実戦検証
欠片試練,floor-boss-260,3,帯電の随伴・2,253,5669,101,208,61,,未実戦検証
欠片試練,floor-boss-260,4,⚔️ 帯電の随伴・3,251,12590,1433,441,351,,未実戦検証
欠片試練,floor-boss-270,1,⚔️ 紫牙の双牙将〈欠片試練〉,270,76665,2499,1246,271,floor-boss-270,未実戦検証
欠片試練,floor-boss-270,2,⚔️ 紫牙の随伴・1,265,31344,1624,1337,208,,未実戦検証
欠片試練,floor-boss-270,3,⚔️ 紫牙の随伴・2,263,12956,950,657,342,,未実戦検証
欠片試練,floor-boss-270,4,紫牙の随伴・3,261,6465,631,226,343,,未実戦検証
欠片試練,floor-boss-280,1,⚔️ 雷鐘の葬鐘守〈欠片試練〉,280,26906,787,446,91,floor-boss-280,未実戦検証
欠片試練,floor-boss-280,2,⚔️ 雷鐘の随伴・1,275,5762,483,254,217,,未実戦検証
欠片試練,floor-boss-280,3,雷鐘の随伴・2,273,42557,1137,1772,169,,未実戦検証
欠片試練,floor-boss-280,4,⚔️ 雷鐘の随伴・3,271,7438,380,595,105,,未実戦検証
欠片試練,floor-boss-290,1,⚔️ 轟冠の冠位竜〈欠片試練〉,290,60337,2943,992,390,floor-boss-290,未実戦検証
欠片試練,floor-boss-290,2,⚔️ 轟冠の随伴・1,285,13850,1121,793,142,,未実戦検証
欠片試練,floor-boss-290,3,⚔️ 轟冠の随伴・2,283,19295,1369,883,393,,未実戦検証
欠片試練,floor-boss-290,4,⚔️ 轟冠の随伴・3,281,32188,2496,1561,733,,未実戦検証
欠片試練,floor-boss-310,1,⚔️ 古門の剣王〈欠片試練〉,310,25460,1235,642,249,floor-boss-310,未実戦検証
欠片試練,floor-boss-310,2,古門の随伴・1,305,34625,817,1452,119,,未実戦検証
欠片試練,floor-boss-310,3,⚔️ 古門の随伴・2,303,5096,448,277,189,,未実戦検証
欠片試練,floor-boss-310,4,⚔️ 古門の随伴・3,301,9440,1104,1090,135,,未実戦検証
欠片試練,floor-boss-320,1,⚔️ 苔鏡の鏡術師〈欠片試練〉,320,18620,767,284,363,floor-boss-320,未実戦検証
欠片試練,floor-boss-320,2,苔鏡の随伴・1,315,66047,1837,2556,130,,未実戦検証
欠片試練,floor-boss-320,3,⚔️ 苔鏡の随伴・2,313,12688,661,400,139,,未実戦検証
欠片試練,floor-boss-320,4,⚔️ 苔鏡の随伴・3,311,22757,1069,1068,248,,未実戦検証
欠片試練,floor-boss-330,1,⚔️ 崩塞の城塞公〈欠片試練〉,330,37234,1397,818,161,floor-boss-330,未実戦検証
欠片試練,floor-boss-330,2,⚔️ 崩塞の随伴・1,325,8147,1138,322,357,,未実戦検証
欠片試練,floor-boss-330,3,⚔️ 崩塞の随伴・2,323,14854,660,757,38,,未実戦検証
欠片試練,floor-boss-330,4,⚔️ 崩塞の随伴・3,321,12591,794,420,561,,未実戦検証
欠片試練,floor-boss-340,1,⚔️ 封迅の疾風侯〈欠片試練〉,340,26145,1638,451,1018,floor-boss-340,未実戦検証
欠片試練,floor-boss-340,2,⚔️ 封迅の随伴・1,335,14268,641,499,117,,未実戦検証
欠片試練,floor-boss-340,3,封迅の随伴・2,333,13361,1296,467,343,,未実戦検証
欠片試練,floor-boss-340,4,⚔️ 封迅の随伴・3,331,38260,2169,1389,590,,未実戦検証
欠片試練,floor-boss-350,1,⚔️ 祭命の命紡ぎ〈欠片試練〉,350,59404,1482,950,338,floor-boss-350,未実戦検証
欠片試練,floor-boss-350,2,⚔️ 祭命の随伴・1,345,19155,529,798,89,,未実戦検証
欠片試練,floor-boss-350,3,祭命の随伴・2,343,54693,1070,1867,119,,未実戦検証
欠片試練,floor-boss-350,4,⚔️ 祭命の随伴・3,341,50084,3492,1402,751,,未実戦検証
欠片試練,floor-boss-360,1,⚔️ 芽嵐の封陣卿〈欠片試練〉,360,70781,2793,2019,522,floor-boss-360,未実戦検証
欠片試練,floor-boss-360,2,⚔️ 芽嵐の随伴・1,355,23385,2474,835,605,,未実戦検証
欠片試練,floor-boss-360,3,⚔️ 芽嵐の随伴・2,353,7244,795,348,313,,未実戦検証
欠片試練,floor-boss-360,4,⚔️ 芽嵐の随伴・3,351,9237,771,296,436,,未実戦検証
欠片試練,floor-boss-370,1,⚔️ 絡牙の双牙将〈欠片試練〉,370,57999,4324,933,609,floor-boss-370,未実戦検証
欠片試練,floor-boss-370,2,⚔️ 絡牙の随伴・1,365,15157,2060,542,1372,,未実戦検証
欠片試練,floor-boss-370,3,⚔️ 絡牙の随伴・2,363,3765,376,111,499,,未実戦検証
欠片試練,floor-boss-370,4,⚔️ 絡牙の随伴・3,361,11127,931,405,676,,未実戦検証
欠片試練,floor-boss-380,1,⚔️ 燐鐘の葬鐘守〈欠片試練〉,380,100274,2276,1659,276,floor-boss-380,未実戦検証
