対象ID,モード,編成,種族ID,Lv,試行数,勝利数,勝率%,勝利時平均R,勝利時最大R,初手戦闘不能あり%,MPが0になった戦闘%,相乗効果平均発動数
campaign:10:abyss_gluttony,第一章,幽光オバケクラゲ / 鉄角王ミノスフェルム / 冥哭霊ネクロシア / 炎冠獅レオイグニス,correction_ghost / iron_minotaur / wraith / flame_lion,300,100,100,100,6,10,0,0,0
campaign:10:abyss_gluttony,第一章,霧海母ミストメドゥーサ / 根城兵ルートバスティオン / 焔妖狐イグナレナード / 極光鎌虫,mist_jelly / root_guard / ember_fox / aurora_mantis,300,100,100,100,7.27,12,3,0,0
campaign:10:abyss_gluttony,第一章,葬列司祭ネクロビショップ / 魔紋巨兵ルーンゴリアス / 夢蝕獣モルフェイーター / 翡翠刃ジェイドリーパー,grave_bishop / rune_golem / dream_eater / jade_mantis,300,100,88,88,10.23,21,0,0,0
campaign:11:boss,第一章,天角聖鹿セレススタッグ / 黒葬騎ディアブロス / 深海サルパ百鬼夜行 / 禁海の断頭魚,sky_stag / dark_knight / pencilcase_parade / forbidden_paper_cutter,330,100,100,100,1.03,2,0,0,0
campaign:11:boss,第一章,葬列司祭ネクロビショップ / 薔薇葬騎ローゼンヴァイス / 雷衣術師エレノア / 深海龍ネレイド,grave_bishop / rose_knight / volt_veil_arcanist / chalkboard_dragon,330,100,100,100,1.04,2,0,0,0
campaign:11:boss,第一章,蒼歌姫セイレーネ / 魔紋巨兵ルーンゴリアス / 氷獄竜グレイシオン / 紅蓮竜ドラグニール,tide_siren / rune_golem / frost_dragon / dragon,330,100,100,100,1.1,2,0,0,0
campaign:12:boss,第一章,天角聖鹿セレススタッグ / 黒葬騎ディアブロス / 深海サルパ百鬼夜行 / 禁海の断頭魚,sky_stag / dark_knight / pencilcase_parade / forbidden_paper_cutter,360,100,100,100,1,1,0,0,0
campaign:12:boss,第一章,聖環精ルミナリエ / 溶界亀マグナトルタ / 海魔眼バシリオス / 骨縫獣キメラモルド,angelic_orb / lava_tortoise / sea_basilisk / bone_chimera,360,100,100,100,1.01,2,0,0,0
campaign:12:boss,第一章,葬列司祭ネクロビショップ / 熔甲王マグマスカラベ / 雷衣術師エレノア / 深海龍ネレイド,grave_bishop / magma_beetle / volt_veil_arcanist / chalkboard_dragon,360,100,100,100,1.05,2,0,0,0
campaign:13:boss,第一章,幽光オバケクラゲ / 溶界亀マグナトルタ / 嵐魔公ジンテンペスタ / 骨縫獣キメラモルド,correction_ghost / lava_tortoise / storm_djinn / bone_chimera,390,100,100,100,2.21,3,0,0,0
campaign:13:boss,第一章,天角聖鹿セレススタッグ / 熔甲王マグマスカラベ / 雷衣術師エレノア / 深海龍ネレイド,sky_stag / magma_beetle / volt_veil_arcanist / chalkboard_dragon,390,100,100,100,2.4,3,0,0,0
campaign:13:boss,第一章,氷樹姫ニヴルドリアード / 黒葬騎ディアブロス / 深海サルパ百鬼夜行 / 禁海の断頭魚,frost_dryad / dark_knight / pencilcase_parade / forbidden_paper_cutter,390,100,100,100,2.98,3,0,0,0
campaign:14:boss,第一章,氷樹姫ニヴルドリアード / 熔甲王マグマスカラベ / 雷衣術師エレノア / 深海龍ネレイド,frost_dryad / magma_beetle / volt_veil_arcanist / chalkboard_dragon,420,100,100,100,1,1,1,0,0
campaign:14:boss,第一章,日輪聖女ソラリア / 黒葬騎ディアブロス / 深海サルパ百鬼夜行 / 禁海の断頭魚,sun_priestess / dark_knight / pencilcase_parade / forbidden_paper_cutter,420,100,100,100,1.01,2,1,0,0
campaign:14:boss,第一章,幽光オバケクラゲ / 鉄角王ミノスフェルム / 嵐魔公ジンテンペスタ / 骨縫獣キメラモルド,correction_ghost / iron_minotaur / storm_djinn / bone_chimera,420,100,100,100,1.36,2,1,0,0
campaign:15:boss,第一章,日輪聖女ソラリア / 黒葬騎ディアブロス / 深海サルパ百鬼夜行 / 煉獄番犬ケルベロスイグナ,sun_priestess / dark_knight / pencilcase_parade / inferno_cerberus,450,100,100,100,1.07,2,0,0,0
campaign:15:boss,第一章,氷樹姫ニヴルドリアード / 熔甲王マグマスカラベ / 雷衣術師エレノア / 禁海の断頭魚,frost_dryad / magma_beetle / volt_veil_arcanist / forbidden_paper_cutter,450,100,100,100,1.07,2,0,0,0
campaign:15:boss,第一章,葬列司祭ネクロビショップ / 魔紋巨兵ルーンゴリアス / 深海魔皇オクトクラーケン / 紅蓮竜ドラグニール,grave_bishop / rune_golem / deep_octopus / dragon,450,100,100,100,2.03,3,0,0,0
campaign:16:boss,第一章,日輪聖女ソラリア / 海嘯幼竜リヴァイアス / 深海サルパ百鬼夜行 / 煉獄番犬ケルベロスイグナ,sun_priestess / leviathan_spawn / pencilcase_parade / inferno_cerberus,480,100,100,100,1,1,0,0,0
campaign:16:boss,第一章,氷樹姫ニヴルドリアード / 黒葬騎ディアブロス / 雷衣術師エレノア / 禁海の断頭魚,frost_dryad / dark_knight / volt_veil_arcanist / forbidden_paper_cutter,480,100,100,100,1.02,2,0,0,0
campaign:16:boss,第一章,天角聖鹿セレススタッグ / 熔甲王マグマスカラベ / 氷獄竜グレイシオン / 深海龍ネレイド,sky_stag / magma_beetle / frost_dragon / chalkboard_dragon,480,100,100,100,1.05,2,0,0,0
campaign:17:boss,第一章,氷樹姫ニヴルドリアード / 黒葬騎ディアブロス / 雷衣術師エレノア / 雷鳴不死鳥フェニクスヴォルト,frost_dryad / dark_knight / volt_veil_arcanist / storm_phoenix,510,100,100,100,2.01,3,0,0,0
campaign:17:boss,第一章,蒼歌姫セイレーネ / 魔紋巨兵ルーンゴリアス / 機巧賢者クロノマギア / 深海龍ネレイド,tide_siren / rune_golem / clockwork_mage / chalkboard_dragon,510,100,100,100,2.02,3,0,0,0
campaign:17:boss,第一章,幽光オバケクラゲ / 溶界亀マグナトルタ / 嵐魔公ジンテンペスタ / 紅蓮竜ドラグニール,correction_ghost / lava_tortoise / storm_djinn / dragon,510,100,100,100,2.07,3,1,0,0
campaign:18:boss,第一章,氷樹姫ニヴルドリアード / 海嘯幼竜リヴァイアス / 雷衣術師エレノア / 雷鳴不死鳥フェニクスヴォルト,frost_dryad / leviathan_spawn / volt_veil_arcanist / storm_phoenix,540,100,100,100,2.91,4,0,0,0
campaign:18:boss,第一章,蒼歌姫セイレーネ / 薔薇葬騎ローゼンヴァイス / 機巧賢者クロノマギア / 深海龍ネレイド,tide_siren / rose_knight / clockwork_mage / chalkboard_dragon,540,100,100,100,3.03,4,0,0,0
campaign:18:boss,第一章,日輪聖女ソラリア / 世界樹護王ユグドガルド / 深海サルパ百鬼夜行 / 冥淵死神アビスモルテ,sun_priestess / world_tree_guardian / pencilcase_parade / abyss_reaper,540,100,100,100,3.16,7,0,0,0
campaign:19:boss,第一章,葬列司祭ネクロビショップ / 黒葬騎ディアブロス / 深海魔皇オクトクラーケン / 煉獄番犬ケルベロスイグナ,grave_bishop / dark_knight / deep_octopus / inferno_cerberus,570,100,100,100,1.11,2,0,0,0
campaign:19:boss,第一章,蒼歌姫セイレーネ / 熔甲王マグマスカラベ / 機巧賢者クロノマギア / 禁海の断頭魚,tide_siren / magma_beetle / clockwork_mage / forbidden_paper_cutter,570,100,100,100,1.16,2,0,0,0
campaign:19:boss,第一章,日輪聖女ソラリア / 金剛神機アダマント / 深海サルパ百鬼夜行 / 月影戦姫ヴァルキュリア,sun_priestess / adamant_golem / pencilcase_parade / moon_valkyrie,570,100,100,100,1.36,2,0,0,0
campaign:20:abyss_wrath,第一章,蒼歌姫セイレーネ / 熔甲王マグマスカラベ / 深海魔皇オクトクラーケン / 禁海の断頭魚,tide_siren / magma_beetle / deep_octopus / forbidden_paper_cutter,600,100,100,100,2.31,4,8,0,0
campaign:20:abyss_wrath,第一章,氷樹姫ニヴルドリアード / 世界樹護王ユグドガルド / 深海サルパ百鬼夜行 / 冥淵死神アビスモルテ,frost_dryad / world_tree_guardian / pencilcase_parade / abyss_reaper,600,100,100,100,3.12,13,1,0,0
campaign:20:abyss_wrath,第一章,幽光オバケクラゲ / 薔薇葬騎ローゼンヴァイス / 機巧賢者クロノマギア / 深海龍ネレイド,correction_ghost / rose_knight / clockwork_mage / chalkboard_dragon,600,100,99,99,2.05,3,30,0,0
campaign:21:boss,第一章,天角聖鹿セレススタッグ / 海嘯幼竜リヴァイアス / 雷衣術師エレノア / 冥淵死神アビスモルテ,sky_stag / leviathan_spawn / volt_veil_arcanist / abyss_reaper,630,100,100,100,1.03,2,0,0,0
campaign:21:boss,第一章,氷樹姫ニヴルドリアード / 世界樹護王ユグドガルド / 深海サルパ百鬼夜行 / 月影戦姫ヴァルキュリア,frost_dryad / world_tree_guardian / pencilcase_parade / moon_valkyrie,630,100,100,100,1.33,2,0,0,0
campaign:21:boss,第一章,日輪聖女ソラリア / 金剛神機アダマント / 九天妖狐クズノハ / 海魔騎クラーケンロード,sun_priestess / adamant_golem / nine_tail_fox / kraken_knight,630,100,100,100,1.34,2,0,0,0
campaign:22:boss,第一章,天角聖鹿セレススタッグ / 海嘯幼竜リヴァイアス / 雷衣術師エレノア / 海魔騎クラーケンロード,sky_stag / leviathan_spawn / volt_veil_arcanist / kraken_knight,660,100,100,100,1.01,2,0,0,0
campaign:22:boss,第一章,氷樹姫ニヴルドリアード / 世界樹護王ユグドガルド / 深海サルパ百鬼夜行 / 雷帝獣ヴァジュラ,frost_dryad / world_tree_guardian / pencilcase_parade / thunder_emperor,660,100,100,100,1.05,2,0,0,0
campaign:22:boss,第一章,幽光オバケクラゲ / 薔薇葬騎ローゼンヴァイス / 機巧賢者クロノマギア / 雷鳴不死鳥フェニクスヴォルト,correction_ghost / rose_knight / clockwork_mage / storm_phoenix,660,100,100,100,1.19,2,0,0,0
campaign:23:boss,第一章,氷樹姫ニヴルドリアード / 海嘯幼竜リヴァイアス / 雷衣術師エレノア / 海魔騎クラーケンロード,frost_dryad / leviathan_spawn / volt_veil_arcanist / kraken_knight,690,100,100,100,1.41,3,0,0,0
campaign:23:boss,第一章,日輪聖女ソラリア / 世界樹護王ユグドガルド / 深海サルパ百鬼夜行 / 雷帝獣ヴァジュラ,sun_priestess / world_tree_guardian / pencilcase_parade / thunder_emperor,690,100,100,100,1.62,4,0,0,0
campaign:23:boss,第一章,極光聖獣アウロラ / 金剛神機アダマント / 九天妖狐クズノハ / 虚無刃ヴォイドリーパー,aurora_unicorn / adamant_golem / nine_tail_fox / void_mantis,690,100,100,100,2.21,3,0,0,0
campaign:24:boss,第一章,氷樹姫ニヴルドリアード / 海嘯幼竜リヴァイアス / 深海サルパ百鬼夜行 / 雷帝獣ヴァジュラ,frost_dryad / leviathan_spawn / pencilcase_parade / thunder_emperor,720,100,100,100,1.01,2,0,0,0
campaign:24:boss,第一章,天角聖鹿セレススタッグ / 黒葬騎ディアブロス / 雷衣術師エレノア / 海魔騎クラーケンロード,sky_stag / dark_knight / volt_veil_arcanist / kraken_knight,720,100,100,100,1.01,2,1,0,0
campaign:24:boss,第一章,日輪聖女ソラリア / 世界樹護王ユグドガルド / 九天妖狐クズノハ / 虚無刃ヴォイドリーパー,sun_priestess / world_tree_guardian / nine_tail_fox / void_mantis,720,100,100,100,1.13,2,2,0,0
campaign:25:boss,第一章,天角聖鹿セレススタッグ / 海嘯幼竜リヴァイアス / 雷衣術師エレノア / 海魔騎クラーケンロード,sky_stag / leviathan_spawn / volt_veil_arcanist / kraken_knight,750,100,100,100,1.01,2,0,0,0
campaign:25:boss,第一章,氷樹姫ニヴルドリアード / 世界樹護王ユグドガルド / 深海サルパ百鬼夜行 / 雷帝獣ヴァジュラ,frost_dryad / world_tree_guardian / pencilcase_parade / thunder_emperor,750,100,100,100,1.04,2,0,0,0
campaign:25:boss,第一章,極光聖獣アウロラ / 地殻巨神テラコロッサス / 疫界竜ペスティドラ / 天颶鳥ガルーダテンペスト,aurora_unicorn / earth_colossus / plague_dragon / cyclone_garuda,750,100,100,100,2.1,3,0,0,0
campaign:26:boss,第一章,葬列司祭ネクロビショップ / 黒葬騎ディアブロス / 雷衣術師エレノア / 海魔騎クラーケンロード,grave_bishop / dark_knight / volt_veil_arcanist / kraken_knight,780,100,100,100,2.71,4,0,0,0
campaign:26:boss,第一章,日輪聖女ソラリア / 金剛神機アダマント / 疫界竜ペスティドラ / 天颶鳥ガルーダテンペスト,sun_priestess / adamant_golem / plague_dragon / cyclone_garuda,780,100,100,100,2.96,4,0,0,0
campaign:26:boss,第一章,極光聖獣アウロラ / 地殻巨神テラコロッサス / 日輪賢獣ソルスフィンクス / 血月侯ヴラドノクス,aurora_unicorn / earth_colossus / solar_sphinx / blood_count,780,100,100,100,3.14,4,0,0,0
campaign:27:boss,第一章,天角聖鹿セレススタッグ / 海嘯幼竜リヴァイアス / 九天妖狐クズノハ / 雷帝獣ヴァジュラ,sky_stag / leviathan_spawn / nine_tail_fox / thunder_emperor,810,100,100,100,2.02,3,0,0,0
campaign:27:boss,第一章,極光聖獣アウロラ / 地殻巨神テラコロッサス / 氷界女帝グラシエラ / 血月侯ヴラドノクス,aurora_unicorn / earth_colossus / glacier_queen / blood_count,810,100,100,100,2.06,3,0,0,0
campaign:27:boss,第一章,蒼歌姫セイレーネ / 熔甲王マグマスカラベ / 雷衣術師エレノア / 月影戦姫ヴァルキュリア,tide_siren / magma_beetle / volt_veil_arcanist / moon_valkyrie,810,100,100,100,2.31,4,2,0,0
campaign:28:boss,第一章,日輪聖女ソラリア / 金剛神機アダマント / 日輪賢獣ソルスフィンクス / 血月侯ヴラドノクス,sun_priestess / adamant_golem / solar_sphinx / blood_count,840,100,100,100,1,1,0,0,0
campaign:28:boss,第一章,氷樹姫ニヴルドリアード / 世界樹護王ユグドガルド / 疫界竜ペスティドラ / 天颶鳥ガルーダテンペスト,frost_dryad / world_tree_guardian / plague_dragon / cyclone_garuda,840,100,100,100,1.01,2,0,0,0
campaign:28:boss,第一章,極光聖獣アウロラ / 地殻巨神テラコロッサス / 氷界女帝グラシエラ / 爆界巨神ヴォルカノス,aurora_unicorn / earth_colossus / glacier_queen / volcano_titan,840,100,100,100,1.02,3,0,0,0
campaign:29:boss,第一章,葬列司祭ネクロビショップ / 熔甲王マグマスカラベ / 深海サルパ百鬼夜行 / 海魔騎クラーケンロード,grave_bishop / magma_beetle / pencilcase_parade / kraken_knight,870,100,100,100,2.15,3,0,0,0
campaign:29:boss,第一章,氷樹姫ニヴルドリアード / 海嘯幼竜リヴァイアス / 疫界竜ペスティドラ / 虚無刃ヴォイドリーパー,frost_dryad / leviathan_spawn / plague_dragon / void_mantis,870,100,100,100,2.22,4,1,0,0
campaign:29:boss,第一章,極光聖獣アウロラ / 金剛神機アダマント / 氷界女帝グラシエラ / 血月侯ヴラドノクス,aurora_unicorn / adamant_golem / glacier_queen / blood_count,870,100,100,100,3.53,5,0,0,0
campaign:30:abyss_envy,第一章,葬列司祭ネクロビショップ / 熔甲王マグマスカラベ / 深海サルパ百鬼夜行 / 雷帝獣ヴァジュラ,grave_bishop / magma_beetle / pencilcase_parade / thunder_emperor,900,100,100,100,1.53,3,5,0,0
campaign:30:abyss_envy,第一章,日輪聖女ソラリア / 世界樹護王ユグドガルド / 日輪賢獣ソルスフィンクス / 血月侯ヴラドノクス,sun_priestess / world_tree_guardian / solar_sphinx / blood_count,900,100,100,100,2.5,4,1,0,0
campaign:30:abyss_envy,第一章,極光聖獣アウロラ / 金剛神機アダマント / 氷界女帝グラシエラ / 爆界巨神ヴォルカノス,aurora_unicorn / adamant_golem / glacier_queen / volcano_titan,900,100,100,100,2.81,4,0,0,0
campaign:31:boss,第一章,極光聖獣アウロラ / 金剛神機アダマント / 氷界女帝グラシエラ / 戦慄騎ケンタウロス,aurora_unicorn / adamant_golem / glacier_queen / dread_centaur,930,100,100,100,1,1,0,0,0
campaign:31:boss,第一章,神託梟オラクルノクス / 地殻巨神テラコロッサス / 冥炎蝶ヘルモルフォ / 星辰機神アステリオン,oracle_owl / earth_colossus / hell_butterfly / star_automaton,930,100,100,100,1.01,2,0,0,0
campaign:31:boss,第一章,日輪聖女ソラリア / 世界樹護王ユグドガルド / 日輪賢獣ソルスフィンクス / 翠命竜エメラルディア,sun_priestess / world_tree_guardian / solar_sphinx / jade_dragon,930,100,100,100,1.01,2,0,0,0
campaign:32:boss,第一章,極光聖獣アウロラ / 地殻巨神テラコロッサス / 冥炎蝶ヘルモルフォ / 星辰機神アステリオン,aurora_unicorn / earth_colossus / hell_butterfly / star_automaton,960,100,100,100,1,1,0,0,0
campaign:32:boss,第一章,日輪聖女ソラリア / 金剛神機アダマント / 氷界女帝グラシエラ / 戦慄騎ケンタウロス,sun_priestess / adamant_golem / glacier_queen / dread_centaur,960,100,100,100,1,1,0,0,0
campaign:32:boss,第一章,神託梟オラクルノクス / 凍鏡騎士グラシエル / 天嵐蛇王テンペストナーガ / 天雷牙獣ライガルム,oracle_owl / frozen_mirror_knight / tempest_serpent / stormfang_behemoth,960,100,100,100,1.01,2,0,0,0
campaign:33:boss,第一章,極光聖獣アウロラ / 天穹鯨セレスティア / 冥炎蝶ヘルモルフォ / 星辰機神アステリオン,aurora_unicorn / celestial_whale / hell_butterfly / star_automaton,990,100,100,100,1.01,2,0,0,0
campaign:33:boss,第一章,日輪聖女ソラリア / 地殻巨神テラコロッサス / 氷界女帝グラシエラ / 戦慄騎ケンタウロス,sun_priestess / earth_colossus / glacier_queen / dread_centaur,990,100,100,100,1.01,2,0,0,0
campaign:33:boss,第一章,神託梟オラクルノクス / 凍鏡騎士グラシエル / 天嵐蛇王テンペストナーガ / 天雷牙獣ライガルム,oracle_owl / frozen_mirror_knight / tempest_serpent / stormfang_behemoth,990,100,100,100,1.08,2,0,0,0
campaign:34:boss,第一章,神託梟オラクルノクス / 凍鏡騎士グラシエル / 天嵐蛇王テンペストナーガ / 終刻狼ラグナロク,oracle_owl / frozen_mirror_knight / tempest_serpent / ragnarok_wolf,1020,100,100,100,1,1,0,0,0
campaign:34:boss,第一章,日輪聖女ソラリア / 地殻巨神テラコロッサス / 氷界女帝グラシエラ / 星辰機神アステリオン,sun_priestess / earth_colossus / glacier_queen / star_automaton,1020,100,100,100,1.01,2,0,0,0
campaign:34:boss,第一章,氷樹姫ニヴルドリアード / 金剛神機アダマント / 日輪賢獣ソルスフィンクス / 戦慄騎ケンタウロス,frost_dryad / adamant_golem / solar_sphinx / dread_centaur,1020,100,100,100,1.02,2,0,0,0
campaign:35:boss,第一章,神託梟オラクルノクス / 凍鏡騎士グラシエル / 天嵐蛇王テンペストナーガ / 創界粘神ジェネシス,oracle_owl / frozen_mirror_knight / tempest_serpent / genesis_slime,1050,100,100,100,1.02,2,0,0,0
campaign:35:boss,第一章,氷樹姫ニヴルドリアード / 金剛神機アダマント / 日輪賢獣ソルスフィンクス / 星辰機神アステリオン,frost_dryad / adamant_golem / solar_sphinx / star_automaton,1050,100,100,100,1.08,2,0,0,0
campaign:35:boss,第一章,極光聖獣アウロラ / 天穹鯨セレスティア / 冥炎蝶ヘルモルフォ / 終刻狼ラグナロク,aurora_unicorn / celestial_whale / hell_butterfly / ragnarok_wolf,1050,100,100,100,1.09,2,0,0,0
campaign:36:boss,第一章,神託梟オラクルノクス / 凍鏡騎士グラシエル / 冥毒九頭竜ヒュドラ / 創界粘神ジェネシス,oracle_owl / frozen_mirror_knight / abyssal_hydra / genesis_slime,1080,100,100,100,1.12,2,0,0,0
campaign:36:boss,第一章,氷樹姫ニヴルドリアード / 金剛神機アダマント / 氷界女帝グラシエラ / 星辰機神アステリオン,frost_dryad / adamant_golem / glacier_queen / star_automaton,1080,100,100,100,1.13,2,0,0,0
campaign:36:boss,第一章,極光聖獣アウロラ / 天穹鯨セレスティア / 天嵐蛇王テンペストナーガ / 終刻狼ラグナロク,aurora_unicorn / celestial_whale / tempest_serpent / ragnarok_wolf,1080,100,100,100,1.27,2,0,0,0
campaign:37:boss,第一章,熾天聖セラフィエル / 凍鏡騎士グラシエル / 冥毒九頭竜ヒュドラ / 創界粘神ジェネシス,seraphim / frozen_mirror_knight / abyssal_hydra / genesis_slime,1110,100,100,100,1.02,2,0,0,0
campaign:37:boss,第一章,神託梟オラクルノクス / 天穹鯨セレスティア / 天嵐蛇王テンペストナーガ / 終刻狼ラグナロク,oracle_owl / celestial_whale / tempest_serpent / ragnarok_wolf,1110,100,100,100,1.03,2,0,0,0
campaign:37:boss,第一章,日輪聖女ソラリア / 金剛神機アダマント / 氷界女帝グラシエラ / 星辰機神アステリオン,sun_priestess / adamant_golem / glacier_queen / star_automaton,1110,100,100,100,1.06,2,0,0,0
campaign:38:boss,第一章,熾天聖セラフィエル / 凍鏡騎士グラシエル / 冥毒九頭竜ヒュドラ / 魔皇ディアボロス,seraphim / frozen_mirror_knight / abyssal_hydra / demon_lord,1140,100,100,100,1.01,2,0,0,0
campaign:38:boss,第一章,天角聖鹿セレススタッグ / 海嘯幼竜リヴァイアス / 疫界竜ペスティドラ / 戦慄騎ケンタウロス,sky_stag / leviathan_spawn / plague_dragon / dread_centaur,1140,100,100,100,1.06,2,0,0,0
campaign:38:boss,第一章,極光聖獣アウロラ / 地殻巨神テラコロッサス / 冥炎蝶ヘルモルフォ / 終刻狼ラグナロク,aurora_unicorn / earth_colossus / hell_butterfly / ragnarok_wolf,1140,100,100,100,1.98,2,0,0,0
campaign:39:boss,第一章,熾天聖セラフィエル / 凍鏡騎士グラシエル / 海皇姫ネレイディア / 魔皇ディアボロス,seraphim / frozen_mirror_knight / sea_empress / demon_lord,1170,100,100,100,2.29,3,0,0,0
