対象ID,編成,種族ID,Lv,記録済試行数,勝利数,勝率%,平均R,例外
campaign:73:boss,天翔聖馬ペガシエル / 黒曜巨神オブシディア / 星界賢王アストラスフィンクス / 天壊竜帝バハムート,celestial_pegasus / obsidian_titan / astral_sphinx / bahamut,2190,100,100,100,1,
campaign:80:ten_space,原初不死鳥フェニクシア / 創世巨神ジェネゴリア / 堕天熾使アザリエル / 混沌魔皇カオスディア,primordial_phoenix / genesis_golem / fallen_seraph / chaos_king,2400,100,100,100,1.11,
campaign:80:ten_space,刻律機クロノギア / 玄天聖亀ゲンブロス / ベチー / 黙示滅竜アポカリオン,time_keeper / sacred_turtle / bechi / apocalypse_dragon,2400,100,100,100,1.07,
campaign:80:ten_space,熾天聖セラフィエル / 黒曜巨神オブシディア / 星界賢王アストラスフィンクス / 天壊竜帝バハムート,seraphim / obsidian_titan / astral_sphinx / bahamut,2400,100,100,100,1.14,
campaign:87:boss,原初不死鳥フェニクシア / 創世巨神ジェネゴリア / 氷界皇ニヴルシア / 星葬姫ルミナリア,primordial_phoenix / genesis_golem / frost_sovereign / storm_sovereign,2610,100,100,100,1,
campaign:87:boss,森羅王ケルヌンノス / 終環蛇ヨルムンガルド / 無窮九頭竜インフィニドラ / 天帝麒麟セイラン,forest_cernunnos / world_serpent / infinite_hydra / celestial_kirin,2610,100,100,100,1,
campaign:87:boss,天翔聖馬ペガシエル / 獣界覇王ベヒモルク / 堕天熾使アザリエル / 死界覇王モルディウス,celestial_pegasus / king_behemoth / fallen_seraph / death_lord,2610,100,100,100,1.03,
campaign:93:boss,月蝕狼ルナファング / 天雷獅子レグルス / 深淵海姫セイレーネ / 星葬姫ルミナリア,light_sovereign / space_whale / time_dragon / storm_sovereign,2790,100,100,100,1.13,
campaign:93:boss,原初不死鳥フェニクシア / 黒曜竜ヴァルグリム / 機神アークノヴァ / 天帝麒麟セイラン,primordial_phoenix / earth_sovereign / dark_sovereign / celestial_kirin,2790,100,100,100,1.15,
campaign:93:boss,森羅王ケルヌンノス / 創世巨神ジェネゴリア / 氷界皇ニヴルシア / 死界覇王モルディウス,forest_cernunnos / genesis_golem / frost_sovereign / death_lord,2790,100,100,100,1.42,
campaign:100:ten_creation,夢妖精ルミエラ / 暁剣姫アウレリア / 灰燼鬼カグラ / 虚無鯨アビサリス,fate_weaver / abyss_gatekeeper / nightmare_empress / crownless_hero,3000,100,100,100,1.76,
campaign:100:ten_creation,天翔聖馬ペガシエル / 終環蛇ヨルムンガルド / 氷界皇ニヴルシア / 混沌魔皇カオスディア,celestial_pegasus / world_serpent / frost_sovereign / chaos_king,3000,100,100,100,1.66,
campaign:100:ten_creation,森羅王ケルヌンノス / 創世巨神ジェネゴリア / 機神アークノヴァ / 死界覇王モルディウス,forest_cernunnos / genesis_golem / dark_sovereign / death_lord,3000,100,100,100,1.73,
rematch:floor-boss-60,【鏡侍女】リュネ / 【鏡侍女】ロゼ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_ryune / ch2_rose / ch2_aure / ch2_noelle,60,100,100,100,1.23,
rematch:floor-boss-60,【双雷】カリスタ / 【双雷】ソレーヌ / 【薬毒】ミレア / 【薬毒】ヴィオラ,ch2_calista / ch2_solenne / ch2_mirea / ch2_viola,60,100,100,100,1.68,
rematch:floor-boss-60,【霊符】シオン / 【霊符】スイレン / 【日月】ルナリア / 【日月】ソラリア,ch2_shion / ch2_suiren / ch2_lunaria / ch2_solaria,60,100,100,100,1.22,
rematch:floor-boss-150,【鏡侍女】リュネ / 【鏡侍女】ロゼ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_ryune / ch2_rose / ch2_aure / ch2_noelle,150,100,100,100,2.07,
rematch:floor-boss-150,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,150,100,100,100,2,
rematch:floor-boss-150,【双藤】ネヴィア / 【双藤】エルミナ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_nevia / ch2_elmina / ch2_aure / ch2_noelle,150,100,100,100,2.01,
rematch:floor-boss-240,【双雷】カリスタ / 【双雷】ソレーヌ / 【薬毒】ミレア / 【薬毒】ヴィオラ,ch2_calista / ch2_solenne / ch2_mirea / ch2_viola,240,100,100,100,1.28,
rematch:floor-boss-240,【霊符】シオン / 【霊符】スイレン / 【日月】ルナリア / 【日月】ソラリア,ch2_shion / ch2_suiren / ch2_lunaria / ch2_solaria,240,100,100,100,1.13,
rematch:floor-boss-240,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,240,100,100,100,1.26,
rematch:floor-boss-330,【霊符】シオン / 【霊符】スイレン / 【日月】ルナリア / 【日月】ソラリア,ch2_shion / ch2_suiren / ch2_lunaria / ch2_solaria,330,100,100,100,1.47,
rematch:floor-boss-330,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,330,100,100,100,1.7,
rematch:floor-boss-330,【竜姫】ドラシア / 【竜姫】リュシエ / 【薬毒】ミレア / 【薬毒】ヴィオラ,ch2_dracia / ch2_rucie / ch2_mirea / ch2_viola,330,100,100,100,1.47,
rematch:floor-boss-420,【鏡侍女】リュネ / 【鏡侍女】ロゼ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_ryune / ch2_rose / ch2_aure / ch2_noelle,420,100,100,100,1.39,
rematch:floor-boss-420,【霊符】シオン / 【霊符】スイレン / 【日月】ルナリア / 【日月】ソラリア,ch2_shion / ch2_suiren / ch2_lunaria / ch2_solaria,420,100,100,100,1.08,
rematch:floor-boss-420,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,420,100,100,100,1,
rematch:floor-boss-510,【鏡侍女】リュネ / 【鏡侍女】ロゼ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_ryune / ch2_rose / ch2_aure / ch2_noelle,510,100,100,100,2,
rematch:floor-boss-510,【双雷】カリスタ / 【双雷】ソレーヌ / 【薬毒】ミレア / 【薬毒】ヴィオラ,ch2_calista / ch2_solenne / ch2_mirea / ch2_viola,510,100,100,100,1.85,
rematch:floor-boss-510,【霊符】シオン / 【霊符】スイレン / 【日月】ルナリア / 【日月】ソラリア,ch2_shion / ch2_suiren / ch2_lunaria / ch2_solaria,510,100,100,100,1.85,
rematch:floor-boss-590,【霊符】シオン / 【霊符】スイレン / 【日月】ルナリア / 【日月】ソラリア,ch2_shion / ch2_suiren / ch2_lunaria / ch2_solaria,590,100,100,100,4.11,
rematch:floor-boss-590,【剣姫】ネメシア / 【剣姫】エヴェリア / 【双鐘】フェルネ / 【双鐘】クラリス,ch2_nemesia / ch2_everia / ch2_ferne / ch2_clarisse,590,100,100,100,2.48,
rematch:floor-boss-590,【返誓】ロスティア / 【返誓】アルテア / 【星刻】エイレーネ / 【星刻】イリデル,ch2_rostia / ch2_althea / ch2_eirene / ch2_iridelle,590,100,100,100,3.14,
rematch:floor-boss-680,【剣姫】ネメシア / 【剣姫】エヴェリア / 【双鐘】フェルネ / 【双鐘】クラリス,ch2_nemesia / ch2_everia / ch2_ferne / ch2_clarisse,680,100,100,100,2,
rematch:floor-boss-680,【鏡侍女】リュネ / 【鏡侍女】ロゼ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_ryune / ch2_rose / ch2_aure / ch2_noelle,680,100,100,100,2.25,
rematch:floor-boss-680,【霊符】シオン / 【霊符】スイレン / 【日月】ルナリア / 【日月】ソラリア,ch2_shion / ch2_suiren / ch2_lunaria / ch2_solaria,680,100,100,100,2.22,
rematch:floor-boss-770,【鏡侍女】リュネ / 【鏡侍女】ロゼ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_ryune / ch2_rose / ch2_aure / ch2_noelle,770,100,100,100,2.42,
rematch:floor-boss-770,【双雷】カリスタ / 【双雷】ソレーヌ / 【薬毒】ミレア / 【薬毒】ヴィオラ,ch2_calista / ch2_solenne / ch2_mirea / ch2_viola,770,100,100,100,2.44,
rematch:floor-boss-770,【竜姫】ドラシア / 【竜姫】リュシエ / 【薬毒】ミレア / 【薬毒】ヴィオラ,ch2_dracia / ch2_rucie / ch2_mirea / ch2_viola,770,100,100,100,2.16,
rematch:floor-boss-860,【双雷】カリスタ / 【双雷】ソレーヌ / 【薬毒】ミレア / 【薬毒】ヴィオラ,ch2_calista / ch2_solenne / ch2_mirea / ch2_viola,860,100,100,100,1.97,
rematch:floor-boss-860,【霊符】シオン / 【霊符】スイレン / 【日月】ルナリア / 【日月】ソラリア,ch2_shion / ch2_suiren / ch2_lunaria / ch2_solaria,860,100,100,100,1.27,
rematch:floor-boss-860,【竜姫】ドラシア / 【竜姫】リュシエ / 【薬毒】ミレア / 【薬毒】ヴィオラ,ch2_dracia / ch2_rucie / ch2_mirea / ch2_viola,860,100,100,100,1.4,
rematch:floor-boss-950,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,950,100,100,100,4.35,
rematch:floor-boss-950,【剣姫】ネメシア / 【剣姫】エヴェリア / 【双鐘】フェルネ / 【双鐘】クラリス,ch2_nemesia / ch2_everia / ch2_ferne / ch2_clarisse,950,100,100,100,4.06,
rematch:floor-boss-950,【鏡侍女】リュネ / 【鏡侍女】ロゼ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_ryune / ch2_rose / ch2_aure / ch2_noelle,950,100,100,100,6.74,
corridor:4,【霊符】シオン / 【霊符】スイレン / 【日月】ルナリア / 【日月】ソラリア,ch2_shion / ch2_suiren / ch2_lunaria / ch2_solaria,40,100,100,100,1.08,
corridor:4,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,40,100,100,100,1,
corridor:4,【月狐】カグラ / 【月狐】サヨ / 【双鐘】フェルネ / 【双鐘】クラリス,ch2_kagura / ch2_sayo / ch2_ferne / ch2_clarisse,40,100,100,100,1.06,
corridor:12,【双藤】ネヴィア / 【双藤】エルミナ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_nevia / ch2_elmina / ch2_aure / ch2_noelle,130,100,100,100,1.58,
corridor:12,【剣姫】ネメシア / 【剣姫】エヴェリア / 【双鐘】フェルネ / 【双鐘】クラリス,ch2_nemesia / ch2_everia / ch2_ferne / ch2_clarisse,130,100,100,100,1.69,
corridor:12,【双雷】カリスタ / 【双雷】ソレーヌ / 【薬毒】ミレア / 【薬毒】ヴィオラ,ch2_calista / ch2_solenne / ch2_mirea / ch2_viola,130,100,100,100,2.11,
corridor:20,【剣姫】ネメシア / 【剣姫】エヴェリア / 【双鐘】フェルネ / 【双鐘】クラリス,ch2_nemesia / ch2_everia / ch2_ferne / ch2_clarisse,220,100,100,100,1.9,
corridor:20,【鏡侍女】リュネ / 【鏡侍女】ロゼ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_ryune / ch2_rose / ch2_aure / ch2_noelle,220,100,100,100,2.22,
corridor:20,【双雷】カリスタ / 【双雷】ソレーヌ / 【薬毒】ミレア / 【薬毒】ヴィオラ,ch2_calista / ch2_solenne / ch2_mirea / ch2_viola,220,100,100,100,2.18,
corridor:28,【霊符】シオン / 【霊符】スイレン / 【日月】ルナリア / 【日月】ソラリア,ch2_shion / ch2_suiren / ch2_lunaria / ch2_solaria,310,100,100,100,1.3,
corridor:28,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,310,100,100,100,1.6,
corridor:28,【返誓】ロスティア / 【返誓】アルテア / 【星刻】エイレーネ / 【星刻】イリデル,ch2_rostia / ch2_althea / ch2_eirene / ch2_iridelle,310,100,100,100,1.2,
corridor:36,【月狐】カグラ / 【月狐】サヨ / 【双鐘】フェルネ / 【双鐘】クラリス,ch2_kagura / ch2_sayo / ch2_ferne / ch2_clarisse,390,100,96,96.0,10.02,
corridor:36,【剣姫】ネメシア / 【剣姫】エヴェリア / 【双鐘】フェルネ / 【双鐘】クラリス,ch2_nemesia / ch2_everia / ch2_ferne / ch2_clarisse,390,100,100,100,8.54,
corridor:36,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,390,100,99,99.0,12.66,
corridor:44,【剣姫】ネメシア / 【剣姫】エヴェリア / 【双鐘】フェルネ / 【双鐘】クラリス,ch2_nemesia / ch2_everia / ch2_ferne / ch2_clarisse,480,100,100,100,2.65,
corridor:44,【鏡侍女】リュネ / 【鏡侍女】ロゼ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_ryune / ch2_rose / ch2_aure / ch2_noelle,480,100,100,100,3.66,
corridor:44,【霊符】シオン / 【霊符】スイレン / 【日月】ルナリア / 【日月】ソラリア,ch2_shion / ch2_suiren / ch2_lunaria / ch2_solaria,480,100,100,100,3.43,
corridor:52,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,570,100,100,100,2.08,
corridor:52,【双藤】ネヴィア / 【双藤】エルミナ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_nevia / ch2_elmina / ch2_aure / ch2_noelle,570,100,100,100,2.42,
corridor:52,【返誓】ロスティア / 【返誓】アルテア / 【星刻】エイレーネ / 【星刻】イリデル,ch2_rostia / ch2_althea / ch2_eirene / ch2_iridelle,570,100,100,100,2.22,
corridor:60,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,660,100,100,100,3.15,
corridor:60,【返誓】ロスティア / 【返誓】アルテア / 【星刻】エイレーネ / 【星刻】イリデル,ch2_rostia / ch2_althea / ch2_eirene / ch2_iridelle,660,100,100,100,2.99,
corridor:60,【星糸】セレス / 【星糸】ルミナ / 【誓姫】リリエット / 【誓姫】ロゼット,ch2_celes / ch2_lumina / ch2_lyriet / ch2_rosette,660,100,100,100,3.33,
corridor:68,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,750,100,100,100,6.16,
corridor:68,【剣姫】ネメシア / 【剣姫】エヴェリア / 【双鐘】フェルネ / 【双鐘】クラリス,ch2_nemesia / ch2_everia / ch2_ferne / ch2_clarisse,750,100,100,100,5.85,
corridor:68,【霊符】シオン / 【霊符】スイレン / 【日月】ルナリア / 【日月】ソラリア,ch2_shion / ch2_suiren / ch2_lunaria / ch2_solaria,750,100,100,100,8.04,
corridor:76,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,840,100,77,77.0,3.94,
corridor:76,【竜姫】ドラシア / 【竜姫】リュシエ / 【薬毒】ミレア / 【薬毒】ヴィオラ,ch2_dracia / ch2_rucie / ch2_mirea / ch2_viola,840,100,58,58.0,4.98,
corridor:76,【月狐】カグラ / 【月狐】サヨ / 【双鐘】フェルネ / 【双鐘】クラリス,ch2_kagura / ch2_sayo / ch2_ferne / ch2_clarisse,840,100,65,65.0,4.74,
corridor:76,【剣姫】ネメシア / 【剣姫】エヴェリア / 【双鐘】フェルネ / 【双鐘】クラリス,ch2_nemesia / ch2_everia / ch2_ferne / ch2_clarisse,840,100,91,91.0,3.02,
corridor:76,【返誓】ロスティア / 【返誓】アルテア / 【星刻】エイレーネ / 【星刻】イリデル,ch2_rostia / ch2_althea / ch2_eirene / ch2_iridelle,840,100,67,67.0,4.37,
corridor:76,【星糸】セレス / 【星糸】ルミナ / 【誓姫】リリエット / 【誓姫】ロゼット,ch2_celes / ch2_lumina / ch2_lyriet / ch2_rosette,840,100,80,80.0,3.98,
corridor:84,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,930,100,92,92.0,20.67,
corridor:84,【竜姫】ドラシア / 【竜姫】リュシエ / 【薬毒】ミレア / 【薬毒】ヴィオラ,ch2_dracia / ch2_rucie / ch2_mirea / ch2_viola,930,100,85,85.0,19.87,
corridor:84,【双藤】ネヴィア / 【双藤】エルミナ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_nevia / ch2_elmina / ch2_aure / ch2_noelle,930,100,84,84.0,23.25,
corridor:92,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,6772,100,100,100,1.08,
corridor:92,【双藤】ネヴィア / 【双藤】エルミナ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_nevia / ch2_elmina / ch2_aure / ch2_noelle,6772,100,100,100,1.48,
corridor:92,【鏡侍女】リュネ / 【鏡侍女】ロゼ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_ryune / ch2_rose / ch2_aure / ch2_noelle,6772,100,100,100,2,
corridor:100,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,7348,100,100,100,2.08,
corridor:100,【月狐】カグラ / 【月狐】サヨ / 【双鐘】フェルネ / 【双鐘】クラリス,ch2_kagura / ch2_sayo / ch2_ferne / ch2_clarisse,7348,100,100,100,2.94,
corridor:100,【返誓】ロスティア / 【返誓】アルテア / 【星刻】エイレーネ / 【星刻】イリデル,ch2_rostia / ch2_althea / ch2_eirene / ch2_iridelle,7348,100,100,100,2.25,
corridor:108,【鏡侍女】リュネ / 【鏡侍女】ロゼ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_ryune / ch2_rose / ch2_aure / ch2_noelle,7930,100,100,100,2,
corridor:108,【双藤】ネヴィア / 【双藤】エルミナ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_nevia / ch2_elmina / ch2_aure / ch2_noelle,7930,100,100,100,2,
corridor:108,【星糸】セレス / 【星糸】ルミナ / 【誓姫】リリエット / 【誓姫】ロゼット,ch2_celes / ch2_lumina / ch2_lyriet / ch2_rosette,7930,100,100,100,1.15,
team:4,【鏡侍女】リュネ / 【鏡侍女】ロゼ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_ryune / ch2_rose / ch2_aure / ch2_noelle,117,100,100,100,1.01,
team:4,【双雷】カリスタ / 【双雷】ソレーヌ / 【薬毒】ミレア / 【薬毒】ヴィオラ,ch2_calista / ch2_solenne / ch2_mirea / ch2_viola,117,100,100,100,1.02,
team:4,【霊符】シオン / 【霊符】スイレン / 【日月】ルナリア / 【日月】ソラリア,ch2_shion / ch2_suiren / ch2_lunaria / ch2_solaria,117,100,100,100,1,
team:12,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,135,100,100,100,1,
team:12,【鏡侍女】リュネ / 【鏡侍女】ロゼ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_ryune / ch2_rose / ch2_aure / ch2_noelle,135,100,100,100,1.89,
team:12,【双雷】カリスタ / 【双雷】ソレーヌ / 【薬毒】ミレア / 【薬毒】ヴィオラ,ch2_calista / ch2_solenne / ch2_mirea / ch2_viola,135,100,100,100,1.62,
team:20,【鏡侍女】リュネ / 【鏡侍女】ロゼ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_ryune / ch2_rose / ch2_aure / ch2_noelle,220,100,100,100,2,
team:20,【双雷】カリスタ / 【双雷】ソレーヌ / 【薬毒】ミレア / 【薬毒】ヴィオラ,ch2_calista / ch2_solenne / ch2_mirea / ch2_viola,220,100,100,100,1.83,
team:20,【霊符】シオン / 【霊符】スイレン / 【日月】ルナリア / 【日月】ソラリア,ch2_shion / ch2_suiren / ch2_lunaria / ch2_solaria,220,100,100,100,1.89,
team:28,【霊符】シオン / 【霊符】スイレン / 【日月】ルナリア / 【日月】ソラリア,ch2_shion / ch2_suiren / ch2_lunaria / ch2_solaria,310,100,100,100,1.07,
team:28,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,310,100,100,100,1,
team:28,【剣姫】ネメシア / 【剣姫】エヴェリア / 【双鐘】フェルネ / 【双鐘】クラリス,ch2_nemesia / ch2_everia / ch2_ferne / ch2_clarisse,310,100,100,100,1.01,
team:36,【剣姫】ネメシア / 【剣姫】エヴェリア / 【双鐘】フェルネ / 【双鐘】クラリス,ch2_nemesia / ch2_everia / ch2_ferne / ch2_clarisse,390,100,99,99.0,9.79,
team:36,【霊符】シオン / 【霊符】スイレン / 【日月】ルナリア / 【日月】ソラリア,ch2_shion / ch2_suiren / ch2_lunaria / ch2_solaria,390,100,96,96.0,15.74,
