"対象ID","編成ID","キャラ","種族ID","Lv","スキル1","スキル2","スキル3","スキル4","スキルID"
"campaign:2:boss","4","ゴブリン兵","goblin_guard","60","ゴブリン兵・戦利品崩し","防衛突き","ゴブリン兵・守護陣","","goblin_guard__identity_2 / goblin_guard__identity_1 / goblin_guard__identity_3 / "
"campaign:2:boss","4","鬼火","willowisp","60","火の玉","鬼火・霊体偏移","","","willowisp__identity_1 / willowisp__identity_2 /  / "
"campaign:2:boss","4","刃カマキリ","mantis","60","刃カマキリ・影縫い","鎌連撃","刃カマキリ・甲殻換装","","mantis__identity_3 / mantis__identity_1 / mantis__identity_2 / "
"campaign:2:boss","0","水精","water_spirit","60","清流","水精・霊体偏移","","","water_spirit__identity_1 / water_spirit__identity_2 /  / "
"campaign:2:boss","0","泥殻将グラブロス","mud_crab","60","堅牢撃","泥殻将グラブロス・守護陣","泥殻将グラブロス・甲殻換装","","mud_crab__identity_1 / mud_crab__identity_3 / mud_crab__identity_2 / "
"campaign:2:boss","0","深淵壺イソギンチャク","gluepot_mimic","60","深淵壺イソギンチャク・術式断ち","捕食触手","深淵壺イソギンチャク・霊体偏移","","gluepot_mimic__identity_3 / gluepot_mimic__identity_1 / gluepot_mimic__identity_2 / "
"campaign:2:boss","0","雷燐蛾ヴォルモルフォ","spark_moth","60","迅雷撃","雷燐蛾ヴォルモルフォ・静速見切り","雷燐蛾ヴォルモルフォ・甲殻換装","","spark_moth__identity_1 / spark_moth__identity_3 / spark_moth__identity_2 / "
"campaign:3:boss","1","水精","water_spirit","90","清流","水精・共鳴鼓舞","水精・霊体偏移","","water_spirit__identity_1 / water_spirit__identity_3 / water_spirit__identity_2 / "
"campaign:3:boss","1","鉄城亀フェルムトルタ","iron_turtle","90","堅牢撃","鉄城亀フェルムトルタ・守護陣","鉄城亀フェルムトルタ・脱皮再生","","iron_turtle__identity_1 / iron_turtle__identity_3 / iron_turtle__identity_2 / "
"campaign:3:boss","1","珊瑚蛇コラルナーガ","reef_serpent","90","珊瑚蛇コラルナーガ・侵蝕胞子","猛毒牙","珊瑚蛇コラルナーガ・脱皮再生","","reef_serpent__identity_3 / reef_serpent__identity_1 / reef_serpent__identity_2 / "
"campaign:3:boss","1","森厳猿グロウコング","forest_ape","90","森厳猿グロウコング・耐命強襲","剛腕撃","森厳猿グロウコング・狩猟本能","","forest_ape__identity_3 / forest_ape__identity_1 / forest_ape__identity_2 / "
"campaign:3:boss","0","灯幽霊ルクスファントム","lantern_ghost","90","共鳴の加護","灯幽霊ルクスファントム・共鳴鼓舞","灯幽霊ルクスファントム・霊体偏移","","lantern_ghost__identity_1 / lantern_ghost__identity_3 / lantern_ghost__identity_2 / "
"campaign:3:boss","0","苔王機モスゴリアス","moss_golem","90","堅牢撃","苔王機モスゴリアス・守護陣","苔王機モスゴリアス・動力転換","","moss_golem__identity_1 / moss_golem__identity_3 / moss_golem__identity_2 / "
"campaign:3:boss","0","深淵壺イソギンチャク","gluepot_mimic","90","深淵壺イソギンチャク・術式断ち","捕食触手","深淵壺イソギンチャク・霊体偏移","","gluepot_mimic__identity_3 / gluepot_mimic__identity_1 / gluepot_mimic__identity_2 / "
"campaign:3:boss","0","嵐告鴉テンペストクロウ","storm_crow","90","嵐告鴉テンペストクロウ・確断","会心撃","嵐告鴉テンペストクロウ・逆風滑空","","storm_crow__identity_3 / storm_crow__identity_1 / storm_crow__identity_2 / "
"campaign:3:boss","3","妖精","fairy","90","癒やしの風","妖精・霊体偏移","妖精・命脈治癒","","fairy__identity_1 / fairy__identity_2 / fairy__identity_3 / "
"campaign:3:boss","3","泥殻将グラブロス","mud_crab","90","堅牢撃","泥殻将グラブロス・守護陣","泥殻将グラブロス・甲殻換装","","mud_crab__identity_1 / mud_crab__identity_3 / mud_crab__identity_2 / "
"campaign:3:boss","3","マンドラゴラ","mandrake","90","マンドラゴラ・強化解呪","絶叫","マンドラゴラ・根脈循環","","mandrake__identity_3 / mandrake__identity_1 / mandrake__identity_2 / "
"campaign:3:boss","3","星盤オオグソク","compass_beetle","90","星盤オオグソク・影縫い","星盤穿ち","星盤オオグソク・甲殻換装","","compass_beetle__identity_3 / compass_beetle__identity_1 / compass_beetle__identity_2 / "
"campaign:4:boss","1","灯幽霊ルクスファントム","lantern_ghost","120","共鳴の加護","灯幽霊ルクスファントム・共鳴鼓舞","灯幽霊ルクスファントム・霊体偏移","","lantern_ghost__identity_1 / lantern_ghost__identity_3 / lantern_ghost__identity_2 / "
"campaign:4:boss","1","鉄城亀フェルムトルタ","iron_turtle","120","堅牢撃","鉄城亀フェルムトルタ・守護陣","鉄城亀フェルムトルタ・脱皮再生","","iron_turtle__identity_1 / iron_turtle__identity_3 / iron_turtle__identity_2 / "
"campaign:4:boss","1","砂鉄蠍サンドレギオン","sand_scorpion","120","砂鉄蠍サンドレギオン・侵蝕胞子","猛毒牙","砂鉄蠍サンドレギオン・甲殻換装","","sand_scorpion__identity_3 / sand_scorpion__identity_1 / sand_scorpion__identity_2 / "
"campaign:4:boss","1","断角猪ブレイドボア","blade_boar","120","断角猪ブレイドボア・耐命強襲","剛腕撃","断角猪ブレイドボア・狩猟本能","","blade_boar__identity_3 / blade_boar__identity_1 / blade_boar__identity_2 / "
"campaign:4:boss","0","霧海母ミストメドゥーサ","mist_jelly","120","共鳴の加護","霧海母ミストメドゥーサ・共鳴鼓舞","霧海母ミストメドゥーサ・精素循環","","mist_jelly__identity_1 / mist_jelly__identity_3 / mist_jelly__identity_2 / "
"campaign:4:boss","0","苔王機モスゴリアス","moss_golem","120","堅牢撃","苔王機モスゴリアス・守護陣","苔王機モスゴリアス・動力転換","","moss_golem__identity_1 / moss_golem__identity_3 / moss_golem__identity_2 / "
"campaign:4:boss","0","宵眼梟ノクティス","dusk_owl","120","宵眼梟ノクティス・広域術式","魔導弾","宵眼梟ノクティス・逆風滑空","","dusk_owl__identity_3 / dusk_owl__identity_1 / dusk_owl__identity_2 / "
"campaign:4:boss","0","晶針蜂クリスタヴェスパ","crystal_bee","120","晶針蜂クリスタヴェスパ・確断","会心撃","晶針蜂クリスタヴェスパ・甲殻換装","","crystal_bee__identity_3 / crystal_bee__identity_1 / crystal_bee__identity_2 / "
"campaign:4:boss","3","癒しキノコ","healing_mushroom","120","胞子治癒","癒しキノコ・根脈循環","癒しキノコ・命脈治癒","","healing_mushroom__identity_1 / healing_mushroom__identity_2 / healing_mushroom__identity_3 / "
"campaign:4:boss","3","泥殻将グラブロス","mud_crab","120","堅牢撃","泥殻将グラブロス・守護陣","泥殻将グラブロス・甲殻換装","","mud_crab__identity_1 / mud_crab__identity_3 / mud_crab__identity_2 / "
"campaign:4:boss","3","深淵壺イソギンチャク","gluepot_mimic","120","深淵壺イソギンチャク・術式断ち","捕食触手","深淵壺イソギンチャク・霊体偏移","","gluepot_mimic__identity_3 / gluepot_mimic__identity_1 / gluepot_mimic__identity_2 / "
"campaign:4:boss","3","嵐告鴉テンペストクロウ","storm_crow","120","嵐告鴉テンペストクロウ・確断","会心撃","嵐告鴉テンペストクロウ・逆風滑空","","storm_crow__identity_3 / storm_crow__identity_1 / storm_crow__identity_2 / "
"campaign:5:boss","0","幽光オバケクラゲ","correction_ghost","150","幽光浄化","幽光オバケクラゲ・聖光共鳴","幽光オバケクラゲ・聖光応戦","幽光オバケクラゲ・共鳴鼓舞","correction_ghost__identity_1 / correction_ghost__identity_4 / correction_ghost__identity_2 / correction_ghost__identity_3"
"campaign:5:boss","0","蒼冠王アズルメルム","king_slime","150","蒼冠王アズルメルム・蒼流共鳴","王の粘膜","蒼冠王アズルメルム・粘体再編","蒼冠王アズルメルム・守護陣","king_slime__identity_4 / king_slime__identity_1 / king_slime__identity_2 / king_slime__identity_3"
"campaign:5:boss","0","深淵魔導イカ","fountain_pen_mage","150","深淵魔導イカ・蒼流共鳴","深淵魔導イカ・広域術式","深紫墨弾","深淵魔導イカ・霊体偏移","fountain_pen_mage__identity_4 / fountain_pen_mage__identity_3 / fountain_pen_mage__identity_1 / fountain_pen_mage__identity_2"
"campaign:5:boss","0","鋏刃アビスロブスター","scissor_mantis","150","鋏刃アビスロブスター・翠嵐共鳴","鋏刃アビスロブスター・影縫い","深海断刃","鋏刃アビスロブスター・甲殻換装","scissor_mantis__identity_4 / scissor_mantis__identity_3 / scissor_mantis__identity_1 / scissor_mantis__identity_2"
"campaign:5:boss","2","霧海母ミストメドゥーサ","mist_jelly","150","霧海母ミストメドゥーサ・蒼流共鳴","共鳴の加護","霧海母ミストメドゥーサ・共鳴鼓舞","霧海母ミストメドゥーサ・精素循環","mist_jelly__identity_4 / mist_jelly__identity_1 / mist_jelly__identity_3 / mist_jelly__identity_2"
"campaign:5:boss","2","苔王機モスゴリアス","moss_golem","150","苔王機モスゴリアス・翠嵐共鳴","堅牢撃","苔王機モスゴリアス・守護陣","苔王機モスゴリアス・動力転換","moss_golem__identity_4 / moss_golem__identity_1 / moss_golem__identity_3 / moss_golem__identity_2"
"campaign:5:boss","2","水門妖カワロウ","river_kappa","150","水門妖カワロウ・蒼流共鳴","水門妖カワロウ・術式断ち","封縛陣","水門妖カワロウ・霊体偏移","river_kappa__identity_4 / river_kappa__identity_3 / river_kappa__identity_1 / river_kappa__identity_2"
"campaign:5:boss","2","紫電針獣","storm_quill_boar","150","紫電針獣・雷霆共鳴","紫電針獣・確断","紫電針雨","紫電針獣・狩猟本能","storm_quill_boar__identity_4 / storm_quill_boar__identity_3 / storm_quill_boar__identity_1 / storm_quill_boar__identity_2"
"campaign:5:boss","5","癒しキノコ","healing_mushroom","150","胞子治癒","癒しキノコ・根脈循環","癒しキノコ・命脈治癒","","healing_mushroom__identity_1 / healing_mushroom__identity_2 / healing_mushroom__identity_3 / "
"campaign:5:boss","5","泥殻将グラブロス","mud_crab","150","泥殻将グラブロス・地脈共鳴","堅牢撃","泥殻将グラブロス・守護陣","泥殻将グラブロス・甲殻換装","mud_crab__identity_4 / mud_crab__identity_1 / mud_crab__identity_3 / mud_crab__identity_2"
"campaign:5:boss","5","砂鉄蠍サンドレギオン","sand_scorpion","150","砂鉄蠍サンドレギオン・地脈共鳴","砂鉄蠍サンドレギオン・侵蝕胞子","猛毒牙","砂鉄蠍サンドレギオン・甲殻換装","sand_scorpion__identity_4 / sand_scorpion__identity_3 / sand_scorpion__identity_1 / sand_scorpion__identity_2"
"campaign:5:boss","5","銅機将カッパーレギス","copper_automaton","150","銅機将カッパーレギス・雷霆共鳴","連携撃","銅機将カッパーレギス・均衡転陣","銅機将カッパーレギス・動力転換","copper_automaton__identity_4 / copper_automaton__identity_1 / copper_automaton__identity_3 / copper_automaton__identity_2"
"campaign:6:boss","5","水精","water_spirit","180","清流","水精・蒼流共鳴","水精・共鳴鼓舞","水精・霊体偏移","water_spirit__identity_1 / water_spirit__identity_4 / water_spirit__identity_3 / water_spirit__identity_2"
"campaign:6:boss","5","泥殻将グラブロス","mud_crab","180","泥殻将グラブロス・地脈共鳴","堅牢撃","泥殻将グラブロス・守護陣","泥殻将グラブロス・甲殻換装","mud_crab__identity_4 / mud_crab__identity_1 / mud_crab__identity_3 / mud_crab__identity_2"
"campaign:6:boss","5","砂鉄蠍サンドレギオン","sand_scorpion","180","砂鉄蠍サンドレギオン・地脈共鳴","砂鉄蠍サンドレギオン・侵蝕胞子","猛毒牙","砂鉄蠍サンドレギオン・甲殻換装","sand_scorpion__identity_4 / sand_scorpion__identity_3 / sand_scorpion__identity_1 / sand_scorpion__identity_2"
"campaign:6:boss","5","翠嵐竜ヴァイゼル","wyvern","180","翠嵐竜ヴァイゼル・翠嵐共鳴","翠嵐竜ヴァイゼル・耐命強襲","翠嵐竜ヴァイゼル・竜圧咆哮","滑空突撃","wyvern__identity_4 / wyvern__identity_3 / wyvern__identity_2 / wyvern__identity_1"
"campaign:6:boss","2","聖環精ルミナリエ","angelic_orb","180","聖環精ルミナリエ・聖光共鳴","光輪","聖環精ルミナリエ・共鳴鼓舞","聖環精ルミナリエ・霊体偏移","angelic_orb__identity_4 / angelic_orb__identity_1 / angelic_orb__identity_3 / angelic_orb__identity_2"
"campaign:6:boss","2","苔王機モスゴリアス","moss_golem","180","苔王機モスゴリアス・翠嵐共鳴","堅牢撃","苔王機モスゴリアス・守護陣","苔王機モスゴリアス・動力転換","moss_golem__identity_4 / moss_golem__identity_1 / moss_golem__identity_3 / moss_golem__identity_2"
"campaign:6:boss","2","水門妖カワロウ","river_kappa","180","水門妖カワロウ・蒼流共鳴","水門妖カワロウ・術式断ち","封縛陣","水門妖カワロウ・霊体偏移","river_kappa__identity_4 / river_kappa__identity_3 / river_kappa__identity_1 / river_kappa__identity_2"
"campaign:6:boss","2","鋏刃アビスロブスター","scissor_mantis","180","鋏刃アビスロブスター・翠嵐共鳴","鋏刃アビスロブスター・影縫い","深海断刃","鋏刃アビスロブスター・甲殻換装","scissor_mantis__identity_4 / scissor_mantis__identity_3 / scissor_mantis__identity_1 / scissor_mantis__identity_2"
"campaign:6:boss","0","蒼歌姫セイレーネ","tide_siren","180","蒼歌姫セイレーネ・蒼流共鳴","共鳴の加護","蒼歌姫セイレーネ・共鳴鼓舞","蒼歌姫セイレーネ・霊体偏移","tide_siren__identity_4 / tide_siren__identity_1 / tide_siren__identity_3 / tide_siren__identity_2"
"campaign:6:boss","0","蒼冠王アズルメルム","king_slime","180","蒼冠王アズルメルム・蒼流共鳴","王の粘膜","蒼冠王アズルメルム・粘体再編","蒼冠王アズルメルム・守護陣","king_slime__identity_4 / king_slime__identity_1 / king_slime__identity_2 / king_slime__identity_3"
"campaign:6:boss","0","深淵魔導イカ","fountain_pen_mage","180","深淵魔導イカ・蒼流共鳴","深淵魔導イカ・広域術式","深紫墨弾","深淵魔導イカ・霊体偏移","fountain_pen_mage__identity_4 / fountain_pen_mage__identity_3 / fountain_pen_mage__identity_1 / fountain_pen_mage__identity_2"
"campaign:6:boss","0","雷迅鳥ヴォルトラプター","thunder_raptor","180","雷迅鳥ヴォルトラプター・雷霆共鳴","迅雷撃","雷迅鳥ヴォルトラプター・静速見切り","雷迅鳥ヴォルトラプター・逆風滑空","thunder_raptor__identity_4 / thunder_raptor__identity_1 / thunder_raptor__identity_3 / thunder_raptor__identity_2"
"campaign:7:boss","4","霧海母ミストメドゥーサ","mist_jelly","210","霧海母ミストメドゥーサ・蒼流共鳴","共鳴の加護","霧海母ミストメドゥーサ・共鳴鼓舞","霧海母ミストメドゥーサ・精素循環","mist_jelly__identity_4 / mist_jelly__identity_1 / mist_jelly__identity_3 / mist_jelly__identity_2"
"campaign:7:boss","4","雷針カブト","thunder_shell_beetle","210","雷針カブト・雷霆共鳴","雷針突進","雷針カブト・守護陣","雷針カブト・甲殻換装","thunder_shell_beetle__identity_4 / thunder_shell_beetle__identity_1 / thunder_shell_beetle__identity_3 / thunder_shell_beetle__identity_2"
"campaign:7:boss","4","宵眼梟ノクティス","dusk_owl","210","宵眼梟ノクティス・冥影共鳴","宵眼梟ノクティス・広域術式","魔導弾","宵眼梟ノクティス・逆風滑空","dusk_owl__identity_4 / dusk_owl__identity_3 / dusk_owl__identity_1 / dusk_owl__identity_2"
"campaign:7:boss","4","極光鎌虫","aurora_mantis","210","極光鎌虫・氷晶共鳴","極光鎌虫・影縫い","極光双鎌","極光鎌虫・甲殻換装","aurora_mantis__identity_4 / aurora_mantis__identity_3 / aurora_mantis__identity_1 / aurora_mantis__identity_2"
"campaign:7:boss","5","灯幽霊ルクスファントム","lantern_ghost","210","灯幽霊ルクスファントム・聖光共鳴","共鳴の加護","灯幽霊ルクスファントム・共鳴鼓舞","灯幽霊ルクスファントム・霊体偏移","lantern_ghost__identity_4 / lantern_ghost__identity_1 / lantern_ghost__identity_3 / lantern_ghost__identity_2"
"campaign:7:boss","5","泥殻将グラブロス","mud_crab","210","泥殻将グラブロス・地脈共鳴","堅牢撃","泥殻将グラブロス・守護陣","泥殻将グラブロス・甲殻換装","mud_crab__identity_4 / mud_crab__identity_1 / mud_crab__identity_3 / mud_crab__identity_2"
"campaign:7:boss","5","砂鉄蠍サンドレギオン","sand_scorpion","210","砂鉄蠍サンドレギオン・地脈共鳴","砂鉄蠍サンドレギオン・侵蝕胞子","猛毒牙","砂鉄蠍サンドレギオン・甲殻換装","sand_scorpion__identity_4 / sand_scorpion__identity_3 / sand_scorpion__identity_1 / sand_scorpion__identity_2"
"campaign:7:boss","5","紫電針獣","storm_quill_boar","210","紫電針獣・雷霆共鳴","紫電針獣・確断","紫電針雨","紫電針獣・狩猟本能","storm_quill_boar__identity_4 / storm_quill_boar__identity_3 / storm_quill_boar__identity_1 / storm_quill_boar__identity_2"
"campaign:7:boss","1","蒼歌姫セイレーネ","tide_siren","210","蒼歌姫セイレーネ・蒼流共鳴","共鳴の加護","蒼歌姫セイレーネ・共鳴鼓舞","蒼歌姫セイレーネ・霊体偏移","tide_siren__identity_4 / tide_siren__identity_1 / tide_siren__identity_3 / tide_siren__identity_2"
"campaign:7:boss","1","根城兵ルートバスティオン","root_guard","210","根城兵ルートバスティオン・氷晶共鳴","堅牢撃","根城兵ルートバスティオン・守護陣","根城兵ルートバスティオン・根脈循環","root_guard__identity_4 / root_guard__identity_1 / root_guard__identity_3 / root_guard__identity_2"
"campaign:7:boss","1","冥哭霊ネクロシア","wraith","210","冥哭霊ネクロシア・冥影共鳴","冥哭霊ネクロシア・強化解呪","魂喰い","冥哭霊ネクロシア・冥命返還","wraith__identity_4 / wraith__identity_3 / wraith__identity_1 / wraith__identity_2"
"campaign:7:boss","1","雷迅鳥ヴォルトラプター","thunder_raptor","210","雷迅鳥ヴォルトラプター・雷霆共鳴","迅雷撃","雷迅鳥ヴォルトラプター・静速見切り","雷迅鳥ヴォルトラプター・逆風滑空","thunder_raptor__identity_4 / thunder_raptor__identity_1 / thunder_raptor__identity_3 / thunder_raptor__identity_2"
"campaign:8:boss","4","霧海母ミストメドゥーサ","mist_jelly","240","霧海母ミストメドゥーサ・蒼流共鳴","共鳴の加護","霧海母ミストメドゥーサ・共鳴鼓舞","霧海母ミストメドゥーサ・精素循環","mist_jelly__identity_4 / mist_jelly__identity_1 / mist_jelly__identity_3 / mist_jelly__identity_2"
"campaign:8:boss","4","苔王機モスゴリアス","moss_golem","240","苔王機モスゴリアス・翠嵐共鳴","堅牢撃","苔王機モスゴリアス・守護陣","苔王機モスゴリアス・動力転換","moss_golem__identity_4 / moss_golem__identity_1 / moss_golem__identity_3 / moss_golem__identity_2"
"campaign:8:boss","4","宵眼梟ノクティス","dusk_owl","240","宵眼梟ノクティス・冥影共鳴","宵眼梟ノクティス・広域術式","魔導弾","宵眼梟ノクティス・逆風滑空","dusk_owl__identity_4 / dusk_owl__identity_3 / dusk_owl__identity_1 / dusk_owl__identity_2"
"campaign:8:boss","4","鋏刃アビスロブスター","scissor_mantis","240","鋏刃アビスロブスター・翠嵐共鳴","鋏刃アビスロブスター・陣喰らい","鋏刃アビスロブスター・影縫い","深海断刃","scissor_mantis__identity_4 / scissor_mantis__identity_5 / scissor_mantis__identity_3 / scissor_mantis__identity_1"
"campaign:8:boss","3","聖環精ルミナリエ","angelic_orb","240","聖環精ルミナリエ・聖光共鳴","光輪","聖環精ルミナリエ・攻勢転換","聖環精ルミナリエ・共鳴鼓舞","angelic_orb__identity_4 / angelic_orb__identity_1 / angelic_orb__identity_5 / angelic_orb__identity_3"
"campaign:8:boss","3","根城兵ルートバスティオン","root_guard","240","根城兵ルートバスティオン・氷晶共鳴","堅牢撃","根城兵ルートバスティオン・守護陣","根城兵ルートバスティオン・根脈循環","root_guard__identity_4 / root_guard__identity_1 / root_guard__identity_3 / root_guard__identity_2"
"campaign:8:boss","3","焔妖狐イグナレナード","ember_fox","240","焔妖狐イグナレナード・紅蓮共鳴","焔妖狐イグナレナード・広域術式","魔導弾","焔妖狐イグナレナード・狩猟本能","ember_fox__identity_4 / ember_fox__identity_3 / ember_fox__identity_1 / ember_fox__identity_2"
"campaign:8:boss","3","炎冠獅レオイグニス","flame_lion","240","炎冠獅レオイグニス・紅蓮共鳴","炎冠獅レオイグニス・陣喰らい","炎冠獅レオイグニス・耐命強襲","剛腕撃","flame_lion__identity_4 / flame_lion__identity_5 / flame_lion__identity_3 / flame_lion__identity_1"
"campaign:8:boss","1","蒼歌姫セイレーネ","tide_siren","240","蒼歌姫セイレーネ・蒼流共鳴","共鳴の加護","蒼歌姫セイレーネ・緩急幻歩","蒼歌姫セイレーネ・共鳴鼓舞","tide_siren__identity_4 / tide_siren__identity_1 / tide_siren__identity_5 / tide_siren__identity_3"
"campaign:8:boss","1","鉄角王ミノスフェルム","iron_minotaur","240","鉄角王ミノスフェルム・陣喰らい","鉄角王ミノスフェルム・地脈共鳴","堅牢撃","鉄角王ミノスフェルム・守護陣","iron_minotaur__identity_5 / iron_minotaur__identity_4 / iron_minotaur__identity_1 / iron_minotaur__identity_3"
"campaign:8:boss","1","冥哭霊ネクロシア","wraith","240","冥哭霊ネクロシア・冥影共鳴","冥哭霊ネクロシア・強化解呪","魂喰い","冥哭霊ネクロシア・護陣波","wraith__identity_4 / wraith__identity_3 / wraith__identity_1 / wraith__identity_5"
"campaign:8:boss","1","翡翠刃ジェイドリーパー","jade_mantis","240","翡翠刃ジェイドリーパー・翠嵐共鳴","翡翠刃ジェイドリーパー・影縫い","影討ち","翡翠刃ジェイドリーパー・護陣波","jade_mantis__identity_4 / jade_mantis__identity_3 / jade_mantis__identity_1 / jade_mantis__identity_5"
"campaign:9:boss","1","葬列司祭ネクロビショップ","grave_bishop","270","葬列司祭ネクロビショップ・命脈治癒","葬列司祭ネクロビショップ・冥影共鳴","生命の息吹","葬列司祭ネクロビショップ・攻勢転換","grave_bishop__identity_3 / grave_bishop__identity_4 / grave_bishop__identity_1 / grave_bishop__identity_5"
"campaign:9:boss","1","鉄角王ミノスフェルム","iron_minotaur","270","鉄角王ミノスフェルム・陣喰らい","鉄角王ミノスフェルム・地脈共鳴","堅牢撃","鉄角王ミノスフェルム・守護陣","iron_minotaur__identity_5 / iron_minotaur__identity_4 / iron_minotaur__identity_1 / iron_minotaur__identity_3"
"campaign:9:boss","1","深淵魔導イカ","fountain_pen_mage","270","深淵魔導イカ・蒼流共鳴","深淵魔導イカ・広域術式","深紫墨弾","深淵魔導イカ・命脈収束","fountain_pen_mage__identity_4 / fountain_pen_mage__identity_3 / fountain_pen_mage__identity_1 / fountain_pen_mage__identity_5"
"campaign:9:boss","1","翡翠刃ジェイドリーパー","jade_mantis","270","翡翠刃ジェイドリーパー・翠嵐共鳴","翡翠刃ジェイドリーパー・影縫い","影討ち","翡翠刃ジェイドリーパー・護陣波","jade_mantis__identity_4 / jade_mantis__identity_3 / jade_mantis__identity_1 / jade_mantis__identity_5"
"campaign:9:boss","0","天角聖鹿セレススタッグ","sky_stag","270","天角聖鹿セレススタッグ・翠嵐共鳴","天角聖鹿セレススタッグ・陣喰らい","共鳴の加護","天角聖鹿セレススタッグ・共鳴鼓舞","sky_stag__identity_4 / sky_stag__identity_5 / sky_stag__identity_1 / sky_stag__identity_3"
"campaign:9:boss","0","溶界亀マグナトルタ","lava_tortoise","270","溶界亀マグナトルタ・紅蓮共鳴","堅牢撃","溶界亀マグナトルタ・脱皮再生","溶界亀マグナトルタ・守護陣","lava_tortoise__identity_4 / lava_tortoise__identity_1 / lava_tortoise__identity_2 / lava_tortoise__identity_3"
"campaign:9:boss","0","夢蝕獣モルフェイーター","dream_eater","270","夢蝕獣モルフェイーター・冥影共鳴","夢蝕獣モルフェイーター・強化解呪","侵蝕の霧","夢蝕獣モルフェイーター・攻勢転換","dream_eater__identity_4 / dream_eater__identity_3 / dream_eater__identity_1 / dream_eater__identity_5"
"campaign:9:boss","0","雪影豹ニヴァルパルド","snow_leopard","270","雪影豹ニヴァルパルド・無強帰し","雪影豹ニヴァルパルド・氷晶共鳴","雪影豹ニヴァルパルド・確断","会心撃","snow_leopard__identity_5 / snow_leopard__identity_4 / snow_leopard__identity_3 / snow_leopard__identity_1"
"campaign:9:boss","2","蒼歌姫セイレーネ","tide_siren","270","蒼歌姫セイレーネ・蒼流共鳴","共鳴の加護","蒼歌姫セイレーネ・緩急幻歩","蒼歌姫セイレーネ・共鳴鼓舞","tide_siren__identity_4 / tide_siren__identity_1 / tide_siren__identity_5 / tide_siren__identity_3"
"campaign:9:boss","2","蒼冠王アズルメルム","king_slime","270","蒼冠王アズルメルム・蒼流共鳴","王の粘膜","蒼冠王アズルメルム・命脈収束","蒼冠王アズルメルム・粘体再編","king_slime__identity_4 / king_slime__identity_1 / king_slime__identity_5 / king_slime__identity_2"
