folder,frame,scale,repaired_pixels
218_correction_ghost,walk1,1.0000,0
218_correction_ghost,walk2,1.0000,0
218_correction_ghost,attack,1.0000,0
218_correction_ghost,damage,1.0000,0
218_correction_ghost,down,1.0000,0
219_scissor_mantis,idle1,1.0000,0
219_scissor_mantis,idle2,0.9405,0
219_scissor_mantis,idle3,1.0174,0
219_scissor_mantis,walk1,1.0000,0
219_scissor_mantis,walk2,1.0000,0
219_scissor_mantis,attack,1.0000,0
219_scissor_mantis,damage,1.0000,0
219_scissor_mantis,down,1.0000,0
220_pencilcase_parade,idle1,0.9554,0
220_pencilcase_parade,idle2,1.0000,0
220_pencilcase_parade,idle3,1.0000,0
220_pencilcase_parade,walk1,1.0000,0
220_pencilcase_parade,walk2,1.0000,0
220_pencilcase_parade,attack,1.0000,0
220_pencilcase_parade,damage,1.0000,0
220_pencilcase_parade,down,1.0000,0
221_chalkboard_dragon,idle1,0.9200,0
221_chalkboard_dragon,idle2,1.0586,0
221_chalkboard_dragon,idle3,1.0000,0
221_chalkboard_dragon,walk1,1.0000,0
221_chalkboard_dragon,walk2,1.0000,0
221_chalkboard_dragon,attack,1.0000,0
221_chalkboard_dragon,damage,1.0000,0
221_chalkboard_dragon,down,1.0000,0
222_forbidden_paper_cutter,idle1,0.9218,0
222_forbidden_paper_cutter,idle2,1.0012,0
222_forbidden_paper_cutter,idle3,1.0000,0
222_forbidden_paper_cutter,walk1,1.0000,0
222_forbidden_paper_cutter,walk2,1.0000,0
222_forbidden_paper_cutter,attack,1.0000,0
222_forbidden_paper_cutter,damage,1.0000,0
222_forbidden_paper_cutter,down,1.0000,0
223_ochuki,idle1,1.0000,0
223_ochuki,idle2,1.0078,0
223_ochuki,idle3,0.9789,0
223_ochuki,walk1,1.0000,0
223_ochuki,walk2,1.0000,0
223_ochuki,attack,1.0000,0
223_ochuki,damage,1.0000,0
223_ochuki,down,1.0000,0
224_bechi,idle1,1.0000,0
224_bechi,idle2,1.0039,0
224_bechi,idle3,0.9432,0
224_bechi,walk1,1.0000,0
224_bechi,walk2,1.0000,0
224_bechi,attack,1.0000,0
224_bechi,damage,1.0000,0
224_bechi,down,1.0000,0
225_kiara,idle1,1.0000,0
225_kiara,idle2,0.9855,0
225_kiara,idle3,1.0024,0
225_kiara,walk1,1.0000,0
225_kiara,walk2,1.0000,0
225_kiara,attack,1.0000,0
225_kiara,damage,1.0000,0
225_kiara,down,1.0000,0
226_roxy,idle1,1.0000,0
226_roxy,idle2,0.9935,0
226_roxy,idle3,1.0052,0
226_roxy,walk1,1.0000,0
226_roxy,walk2,1.0000,0
226_roxy,attack,1.0000,0
226_roxy,damage,1.0000,0
226_roxy,down,1.0000,0
227_milim,idle1,1.0000,0
227_milim,idle2,1.0233,0
227_milim,idle3,0.9766,0
227_milim,walk1,1.0000,0
227_milim,walk2,1.0000,0
227_milim,attack,1.0000,0
227_milim,damage,1.0000,0
227_milim,down,1.0000,0
228_ai,idle1,0.9992,0
228_ai,idle2,1.0000,0
228_ai,idle3,1.0589,0
228_ai,walk1,1.0000,0
228_ai,walk2,1.0000,0
228_ai,attack,1.0000,0
228_ai,damage,1.0000,0
228_ai,down,1.0000,0
229_eris,idle1,1.0222,0
229_eris,idle2,1.0000,0
229_eris,idle3,0.9901,0
229_eris,walk1,1.0000,0
229_eris,walk2,1.0000,0
229_eris,attack,1.0000,0
229_eris,damage,1.0000,0
229_eris,down,1.0000,0
230_golden_darkness,idle1,1.0000,0
230_golden_darkness,idle2,0.9894,0
230_golden_darkness,idle3,1.0118,0
230_golden_darkness,walk1,1.0000,0
230_golden_darkness,walk2,1.0000,0
230_golden_darkness,attack,1.0000,0
230_golden_darkness,damage,1.0000,0
230_golden_darkness,down,1.0000,0
abyss_envy,idle1,1.0000,716
abyss_envy,idle2,0.9927,1387
abyss_envy,idle3,1.0743,1172
abyss_envy,walk1,1.0000,791
abyss_envy,walk2,1.0000,787
abyss_envy,attack,1.0000,1307
abyss_envy,damage,1.0000,1115
abyss_envy,down,1.0000,810
abyss_extinction,idle1,1.0000,0
abyss_extinction,idle2,1.0769,0
abyss_extinction,idle3,0.9839,0
abyss_extinction,walk1,1.0000,0
abyss_extinction,walk2,1.0000,0
abyss_extinction,attack,1.0000,0
abyss_extinction,damage,1.0000,0
abyss_extinction,down,1.0000,0
abyss_gluttony,idle1,1.0000,714
abyss_gluttony,idle2,1.0035,695
abyss_gluttony,idle3,0.9411,708
abyss_gluttony,walk1,1.0000,67
abyss_gluttony,walk2,1.0000,741
abyss_gluttony,attack,1.0000,381
abyss_gluttony,damage,1.0000,184
abyss_gluttony,down,1.0000,43
abyss_greed,idle1,1.0000,0
abyss_greed,idle2,0.9914,0
abyss_greed,idle3,1.0000,0
abyss_greed,walk1,1.0000,0
abyss_greed,walk2,1.0000,0
abyss_greed,attack,1.0000,1
abyss_greed,damage,1.0000,0
abyss_greed,down,1.0000,0
abyss_pride,idle1,1.0769,1
abyss_pride,idle2,1.0000,0
abyss_pride,idle3,0.9699,8
abyss_pride,walk1,1.0000,36
abyss_pride,walk2,1.0000,0
abyss_pride,attack,1.0000,0
abyss_pride,damage,1.0000,0
abyss_pride,down,1.0000,0
abyss_sloth,idle1,1.0000,0
abyss_sloth,idle2,1.0074,0
abyss_sloth,idle3,0.9879,0
abyss_sloth,walk1,1.0000,0
abyss_sloth,walk2,1.0000,0
abyss_sloth,attack,1.0000,0
abyss_sloth,damage,1.0000,0
abyss_sloth,down,1.0000,0
abyss_wrath,idle1,1.0000,180
abyss_wrath,idle2,1.0102,223
abyss_wrath,idle3,0.9764,167
abyss_wrath,walk1,1.0000,47
abyss_wrath,walk2,1.0000,427
abyss_wrath,attack,1.0000,356
abyss_wrath,damage,1.0000,303
abyss_wrath,down,1.0000,197
ten_dark,idle1,1.0000,0
ten_dark,idle2,0.9859,0
ten_dark,idle3,1.0610,0
ten_dark,walk1,1.0000,0
ten_dark,walk2,1.0000,0
ten_dark,attack,1.0000,0
ten_dark,damage,1.0000,0
ten_dark,down,1.0000,0
ten_earth,idle1,0.9959,0
ten_earth,idle2,1.0000,0
ten_earth,idle3,1.0204,4
ten_earth,walk1,1.0000,0
ten_earth,walk2,1.0000,0
ten_earth,attack,1.0000,0
ten_earth,damage,1.0000,0
ten_earth,down,1.0000,0
ten_fire,idle1,1.0119,0
ten_fire,idle2,1.0000,0
ten_fire,idle3,0.9843,0
ten_fire,walk1,1.0000,0
ten_fire,walk2,1.0000,0
ten_fire,attack,1.0000,0
ten_fire,damage,1.0000,0
ten_fire,down,1.0000,0
ten_ice,idle1,1.0000,92
ten_ice,idle2,1.0728,92
ten_ice,idle3,0.9513,47
ten_ice,walk1,1.0000,0
ten_ice,walk2,1.0000,1
ten_ice,attack,1.0000,124
ten_ice,damage,1.0000,0
ten_ice,down,1.0000,3
ten_light,idle1,1.0065,1
ten_light,idle2,1.0000,0
ten_light,idle3,0.9630,0
ten_light,walk1,1.0000,0
ten_light,walk2,1.0000,0
ten_light,attack,1.0000,221
ten_light,damage,1.0000,0
ten_light,down,1.0000,0
ten_space,idle1,1.0000,0
ten_space,idle2,1.0000,2
ten_space,idle3,0.9991,0
ten_space,walk1,1.0000,4
ten_space,walk2,1.0000,0
ten_space,attack,1.0000,0
ten_space,damage,1.0000,54
ten_space,down,1.0000,0
ten_thunder,idle1,1.0098,0
ten_thunder,idle2,1.0000,0
ten_thunder,idle3,0.9200,115
ten_thunder,walk1,1.0000,3
ten_thunder,walk2,1.0000,17
ten_thunder,attack,1.0000,70
ten_thunder,damage,1.0000,0
ten_thunder,down,1.0000,0
ten_time,idle1,1.0420,0
ten_time,idle2,1.0000,0
ten_time,idle3,0.9200,0
ten_time,walk1,1.0000,4
ten_time,walk2,1.0000,53
ten_time,attack,1.0000,0
ten_time,damage,1.0000,0
ten_time,down,1.0000,0
ten_water,idle1,1.0000,2
ten_water,idle2,1.0135,4
ten_water,idle3,0.9753,0
ten_water,walk1,1.0000,22
ten_water,walk2,1.0000,30
ten_water,attack,1.0000,9
ten_water,damage,1.0000,1
ten_water,down,1.0000,0
ten_wind,idle1,0.9794,0
ten_wind,idle2,1.0097,0
ten_wind,idle3,1.0000,0
ten_wind,walk1,1.0000,0
ten_wind,walk2,1.0000,0
ten_wind,attack,1.0000,0
ten_wind,damage,1.0000,0
ten_wind,down,1.0000,0
